"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.317084819E-4,-3.678750000E0,6.062243500E0,4.329746246E0,8.308471603E0
1.069970848E-2,-3.145259399E0,6.045328674E0,3.343746643E0,7.590737585E0
2.066770848E-2,-2.912942505E0,6.250252533E0,3.401376801E0,7.688969691E0
3.063470870E-2,-2.928659821E0,6.423292694E0,4.097579041E0,8.162468461E0
4.060270870E-2,-2.888543243E0,6.556515656E0,4.601431274E0,8.514972072E0
5.056970846E-2,-2.683320007E0,6.859036560E0,5.413642273E0,9.140793809E0
6.053770846E-2,-2.880310364E0,6.890022125E0,6.480623474E0,9.887723362E0
7.050570846E-2,-3.294648743E0,6.653963013E0,6.797364807E0,1.006648411E1
8.047270868E-2,-3.591631165E0,6.344706116E0,7.288044434E0,1.030876820E1
9.044070868E-2,-3.683989105E0,5.960155792E0,7.587571564E0,1.032794631E1
1.004077084E-1,-3.525468750E0,5.514532471E0,7.425758057E0,9.898529234E0
1.103757084E-1,-3.180885315E0,5.463338928E0,7.969277802E0,1.017229042E1
1.203437084E-1,-2.587668915E0,5.646557922E0,8.243507538E0,1.032158240E1
1.303107087E-1,-2.093097382E0,5.845344543E0,7.846083984E0,1.000550565E1
1.402787087E-1,-1.887425079E0,5.950875092E0,7.729177094E0,9.935565728E0
1.502457084E-1,-1.470242615E0,6.009403381E0,7.431446228E0,9.669588170E0
1.602137084E-1,-1.688488770E0,5.548661499E0,7.207362213E0,9.251200399E0
1.701817084E-1,-1.480421448E0,5.087171173E0,7.163204041E0,8.909682954E0
1.801487086E-1,-1.275497589E0,5.739813995E0,7.171586609E0,9.273834875E0
1.901167086E-1,-8.027806091E-1,6.616241455E0,6.338269501E0,9.197432683E0
2.000837084E-1,-1.447489929E-1,7.212900696E0,6.081703033E0,9.435782983E0
2.100517084E-1,3.887416077E-1,7.382198639E0,6.831344147E0,1.006554716E1
2.200197084E-1,6.942562866E-1,7.043303375E0,7.224726105E0,1.011369277E1
2.299867086E-1,1.042432251E0,6.517895966E0,6.558760986E0,9.305212437E0
2.399547086E-1,1.101559296E0,6.150110779E0,5.497168579E0,8.322028470E0
2.499217084E-1,-1.411265259E0,5.514981537E0,4.015998688E0,6.966701977E0
2.598894583E-1,-4.784799957E0,5.326972504E0,2.625989227E0,7.626713978E0
2.698574583E-1,-4.433330841E0,5.940995636E0,3.854185181E0,8.354914416E0
2.798244585E-1,-4.810845795E0,5.684728546E0,5.149591370E0,9.054207153E0
2.897924585E-1,-3.901337128E0,5.820196838E0,6.513405304E0,9.566586187E0
2.997594583E-1,-2.360441437E0,6.343358917E0,7.201674042E0,9.883015488E0
