"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.578250133E-3,-2.761906586E0,7.627089386E0,4.579427032E0,9.315136737E0
1.254625013E-2,-3.240611115E0,6.816974030E0,3.957171021E0,8.522434969E0
2.251425013E-2,-3.511996765E0,6.293662262E0,3.630999298E0,8.070220682E0
3.248225013E-2,-3.666924591E0,6.092779999E0,3.626059570E0,7.982268605E0
4.245025013E-2,-3.612288208E0,6.177803192E0,3.810027008E0,8.107415382E0
5.241825012E-2,-3.404969330E0,6.442153473E0,4.167633362E0,8.394303148E0
6.238625012E-2,-3.175346832E0,6.598727875E0,4.611310730E0,8.653913780E0
7.235425012E-2,-2.821632385E0,6.615193634E0,4.902305603E0,8.703734621E0
8.232225012E-2,-2.538271637E0,6.637646942E0,5.300776978E0,8.865631190E0
9.229025012E-2,-2.453398132E0,6.640790405E0,6.030210114E0,9.299607175E0
1.022582501E-1,-2.474055176E0,6.636599121E0,6.920408936E0,9.902396515E0
1.122262501E-1,-2.490520935E0,6.549031219E0,7.508685608E0,1.026999825E1
1.221942501E-1,-2.500101013E0,6.421197052E0,7.586972809E0,1.024911865E1
1.321622501E-1,-2.590662689E0,6.145620117E0,7.231761475E0,9.837609152E0
1.421302501E-1,-2.828518066E0,5.771697693E0,6.637796631E0,9.239770172E0
1.520982501E-1,-3.076252899E0,5.357658691E0,6.164181519E0,8.727254571E0
1.620672499E-1,-3.200195160E0,5.004692688E0,5.844296722E0,8.333306795E0
1.720352499E-1,-3.147654419E0,4.812342682E0,5.658533020E0,8.067550209E0
1.820032499E-1,-3.034489746E0,4.826413422E0,5.542374573E0,7.951120075E0
1.919712499E-1,-3.118016052E0,5.079237671E0,5.356461182E0,8.013261247E0
2.019392499E-1,-2.989283752E0,5.293442230E0,5.327720947E0,8.083375439E0
2.119072499E-1,-2.905458069E0,5.396278381E0,5.379213867E0,8.154596789E0
2.218752499E-1,-3.089425507E0,5.309159546E0,5.409600677E0,8.185078163E0
2.318432499E-1,-3.749702454E0,4.980742493E0,5.935157776E0,8.607796588E0
2.418112499E-1,-4.487967224E0,4.537813568E0,6.899901581E0,9.399055464E0
2.517792499E-1,-4.752616882E0,4.028123474E0,7.879165192E0,1.004461996E1
2.617472499E-1,-4.500840454E0,3.457510071E0,8.462202759E0,1.018925003E1
2.717152499E-1,-4.381239166E0,2.928210754E0,8.314459991E0,9.843775688E0
2.816832503E-1,-4.653073883E0,2.587519226E0,7.333699493E0,9.062532790E0
2.916512503E-1,-4.799170074E0,2.605930939E0,5.761369171E0,7.938279674E0
3.016192503E-1,-4.710554352E0,2.989433441E0,4.654870148E0,7.265937702E0
3.115872503E-1,-4.763244781E0,3.701652374E0,5.035079498E0,7.857655929E0
3.215552503E-1,-4.524042206E0,4.234394531E0,6.690037994E0,9.118863048E0
3.315232503E-1,-4.112547913E0,3.852688293E0,9.259295197E0,1.083931755E1
3.414912503E-1,-3.376528473E0,2.298021240E0,8.103398895E0,9.074520362E0
3.514592503E-1,-2.614313507E0,1.378782806E0,8.402626648E0,8.907289808E0
3.614282501E-1,-2.585273895E0,1.525926819E0,9.705217896E0,1.015890487E1
3.713962501E-1,-2.855162659E0,1.579365692E0,1.072355026E1,1.120896427E1
