"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-1.701666974E-3,2.718347168E-1,6.703959045E0,6.183341675E0,9.124180800E0
8.266333025E-3,1.020727386E0,6.177803192E0,5.821094971E0,8.549402513E0
1.823333325E-2,1.801204376E0,6.044280853E0,6.362519073E0,8.958756454E0
2.820133325E-2,1.587149506E0,6.148613892E0,7.826474762E0,1.007860127E1
3.816933325E-2,5.899232483E-1,6.584657135E0,9.190588074E0,1.132133509E1
4.813733324E-2,-2.248324585E-1,7.097790070E0,9.455237732E0,1.182500292E1
5.810533324E-2,-8.675958252E-1,7.425608368E0,8.591683502E0,1.138900380E1
6.807333324E-2,-1.515298920E0,7.581733704E0,7.187902679E0,1.055674011E1
7.804033300E-2,-1.250948639E0,7.599846039E0,6.261778564E0,9.926348931E0
8.800833300E-2,-7.542814636E-1,7.029831390E0,5.997727661E0,9.271472753E0
9.797633300E-2,-1.230441284E-1,6.699468384E0,6.358178101E0,9.237123212E0
1.079443330E-1,1.196012878E-1,6.670578461E0,6.956184540E0,9.638434770E0
1.179123330E-1,-9.327104187E-1,6.583010559E0,6.775809631E0,9.493027594E0
1.278803330E-1,-6.875202942E-1,6.521638184E0,6.624025269E0,9.321059999E0
1.378483330E-1,-2.662962341E-1,6.667884064E0,6.468498688E0,9.293711145E0
1.478153332E-1,-4.451742554E-1,6.885082397E0,6.391858063E0,9.405232014E0
1.577833332E-1,-1.079255676E-1,7.392377472E0,7.200326843E0,1.032005810E1
1.677513332E-1,5.956114197E-1,7.950267334E0,7.866441650E0,1.120010749E1
1.777193332E-1,8.223898315E-1,8.014034729E0,7.935298462E0,1.130796354E1
1.876873332E-1,5.342390442E-1,7.500003662E0,7.787256317E0,1.082482458E1
1.976553332E-1,6.032455444E-2,6.775210876E0,7.705675964E0,1.026082665E1
2.076233332E-1,-5.822891235E-1,6.578669586E0,7.563920746E0,1.004145663E1
2.175902915E-1,-1.237027588E0,6.719975739E0,6.634503479E0,9.523914510E0
2.275582915E-1,-2.020049286E0,6.831942902E0,5.523813171E0,9.014907370E0
2.375262915E-1,-2.786455536E0,6.947352905E0,4.850363617E0,8.919421173E0
2.474942915E-1,-3.102448425E0,6.788084106E0,4.733007660E0,8.837682591E0
2.574622915E-1,-3.215613098E0,6.825356598E0,4.982089691E0,9.041398010E0
2.674302915E-1,-3.478616180E0,7.155569916E0,5.068160706E0,9.433408943E0
2.773972913E-1,-5.263803864E0,7.061565399E0,5.535638580E0,1.040272231E1
2.873652913E-1,-9.777367859E0,5.134023743E0,6.826554108E0,1.298294893E1
2.973332913E-1,-9.532776489E0,4.746629333E0,6.797215118E0,1.263354467E1
3.073012913E-1,-3.509452057E0,6.452631683E0,4.703369293E0,8.722063522E0
3.172692913E-1,-6.715036011E-1,6.160289612E0,4.459077301E0,7.634360194E0
3.272372917E-1,-9.553134155E-1,5.561983795E0,1.817520447E0,5.928884215E0
3.372052917E-1,-4.691693573E0,7.748337250E0,1.828148346E0,9.240716698E0
3.471722915E-1,-6.287974091E0,8.993298340E0,7.920479279E0,1.353336710E1
3.571402915E-1,-5.676645355E0,9.256600800E0,8.385113068E0,1.371929597E1
3.671082915E-1,-3.962110748E0,9.551786957E0,5.523064728E0,1.172344658E1
3.770762915E-1,-1.628463593E0,9.119635620E0,4.544250183E0,1.031842320E1
3.870442915E-1,-1.974543915E0,8.059989166E0,4.884043579E0,9.628921576E0
3.970122915E-1,-1.958227844E0,7.642507324E0,6.485862579E0,1.021317717E1
