"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.010834619E-4,-1.895358582E0,5.662724304E0,6.056854706E0,8.505546404E0
1.087008324E-2,-1.716480560E0,5.818250885E0,5.673651581E0,8.305941917E0
2.083908347E-2,-1.966011658E0,5.755531311E0,5.301824799E0,8.068499780E0
3.080808325E-2,-2.109563141E0,5.683531036E0,4.938230896E0,7.819137169E0
4.077608325E-2,-1.690135345E0,5.691464539E0,4.737198944E0,7.595418350E0
5.074508348E-2,-1.626966705E0,5.829178162E0,5.149291992E0,7.946165536E0
6.071408326E-2,-1.695673828E0,6.286177826E0,5.246589661E0,8.361701050E0
7.068308350E-2,-4.611909485E-1,5.051545258E0,3.323388977E0,6.064298877E0
8.065108350E-2,-4.857398987E-1,3.795806580E0,1.609752502E0,4.151553198E0
9.062008327E-2,-6.225553894E-1,2.789299622E0,2.477348328E-1,2.868647789E0
1.005890835E-1,-1.525627441E0,1.341959381E0,2.649490356E-2,2.032017729E0
1.105570835E-1,-2.005828857E0,-1.571731567E-2,4.285588074E-1,2.051160425E0
1.205260833E-1,-2.108964386E0,7.424560547E-2,3.318299561E0,3.932474433E0
1.304950835E-1,1.691482544E-2,2.700534210E0,2.971470795E0,4.015321882E0
1.404630835E-1,2.659818878E0,4.061504059E0,2.679877167E0,5.545466014E0
1.504320833E-1,3.284918976E0,2.467169495E0,5.383704529E0,6.772140906E0
1.604010835E-1,4.567451935E0,-8.002359009E-1,7.817343750E0,9.089161566E0
1.703700833E-1,7.078330536E0,-3.173700256E0,5.395829315E0,9.449344448E0
1.803380833E-1,6.970105591E0,-1.996847534E0,1.582060089E0,7.421097368E0
1.903070835E-1,1.522483978E0,1.270857239E0,-9.505233765E-1,2.199211285E0
2.002760833E-1,-3.390449524E0,3.238066406E0,-1.005908203E-1,4.689385945E0
2.102450831E-1,-1.841919708E0,2.908601532E0,2.095342712E0,4.030271972E0
2.202130831E-1,7.650590515E-1,1.337768097E0,2.951711884E0,3.329796071E0
2.301820833E-1,2.204765167E0,-9.379495239E-1,4.656067657E0,5.236382796E0
2.401510831E-1,3.124153290E0,-2.728675690E0,4.039350128E0,5.789849243E0
2.501190831E-1,4.714296570E0,-2.086062012E0,3.127296753E0,6.029612910E0
2.600880833E-1,5.956712952E0,-4.321513367E-1,2.937790833E0,6.655809413E0
2.700570831E-1,6.456972656E0,1.142873383E0,2.427951050E0,6.992395995E0
2.800260833E-1,6.646478577E0,1.160386963E0,1.573527832E0,6.928070815E0
2.899940833E-1,6.395001526E0,-1.091230774E-1,-7.933502197E-2,6.396424502E0
2.999630831E-1,5.960754547E0,-1.744322662E0,-5.025050354E-1,6.231032630E0
3.099320834E-1,5.137765961E0,-2.481689301E0,-1.869612122E-1,5.708798065E0
3.199000834E-1,4.960235138E0,-3.291056213E0,3.673361206E-1,5.964052267E0
3.298690831E-1,6.276298370E0,-3.787573700E0,1.103355560E0,7.413165940E0
3.398380834E-1,7.817194061E0,-3.967050476E0,1.832938385E0,8.955762145E0
3.498060834E-1,8.652307434E0,-4.444707184E0,2.404898987E0,1.002004915E1
3.597750831E-1,9.905202026E0,-5.011129303E0,3.100352783E0,1.152547749E1
3.697440834E-1,1.122635468E1,-5.818550262E0,3.476221161E0,1.311375919E1
3.797130832E-1,1.165566193E1,-6.770271149E0,3.274141388E0,1.387123023E1
3.896810832E-1,1.232207611E1,-7.278015289E0,3.351680145E0,1.469819125E1
3.996500834E-1,1.465781891E1,-6.892117767E0,4.190835114E0,1.673069160E1
4.096190832E-1,1.643357620E1,-6.105952606E0,4.995411987E0,1.822907636E1
4.195870832E-1,1.688189392E1,-5.529351654E0,5.479056244E0,1.859010838E1
4.295560834E-1,1.733679794E1,-4.896916809E0,5.720354462E0,1.890150291E1
4.395250832E-1,1.733125946E1,-4.543651428E0,5.695955200E0,1.880056458E1
4.494940834E-1,1.721405319E1,-4.816084900E0,5.181175690E0,1.861082703E1
4.594620834E-1,1.745370483E1,-5.721701660E0,4.254901886E0,1.885401475E1
4.694310832E-1,1.749352203E1,-7.072941742E0,3.922742615E0,1.927271978E1
4.794000834E-1,1.721914261E1,-8.043822784E0,4.745731201E0,1.958887240E1
4.893680834E-1,1.733200790E1,-8.215066681E0,6.077811127E0,2.012027849E1
4.993370832E-1,1.909249695E1,-7.576045532E0,7.051236877E0,2.171727071E1
5.093060834E-1,2.222009308E1,-5.691763916E0,7.766150208E0,2.421656049E1
5.192750832E-1,2.308813797E1,-3.575165405E0,8.348888397E0,2.481023700E1
5.292430832E-1,2.216276230E1,-2.326162720E0,8.387358398E0,2.381064566E1
5.392120834E-1,2.064491867E1,-2.169139252E0,7.774383087E0,2.216661599E1
5.491810832E-1,1.884865402E1,-2.737357635E0,6.769672394E0,2.021369213E1
5.591490832E-1,1.719429428E1,-3.258873138E0,5.868396606E0,1.845811715E1
5.691180835E-1,1.587688385E1,-3.340603180E0,5.284760284E0,1.706352137E1
5.790870832E-1,1.533995041E1,-3.287463684E0,4.872367859E0,1.642746069E1
5.890560835E-1,1.539832901E1,-3.340453491E0,4.506678314E0,1.638832863E1
5.990240835E-1,1.556193878E1,-3.526516571E0,3.985611877E0,1.644674314E1
6.089930832E-1,1.559576843E1,-3.982917480E0,3.470532990E0,1.646621462E1
6.189620835E-1,1.538829987E1,-4.621639252E0,3.097209320E0,1.636313013E1
6.289300835E-1,1.484478012E1,-5.089715881E0,2.823428650E0,1.594504481E1
6.388990832E-1,1.422926010E1,-5.240602112E0,2.736160126E0,1.540851472E1
6.488680835E-1,1.377555359E1,-5.207221527E0,2.578088837E0,1.495083860E1
6.588370833E-1,1.342064163E1,-5.367538147E0,2.370470581E0,1.464729389E1
6.688050833E-1,1.315943481E1,-5.640420685E0,2.334994354E0,1.450645611E1
6.787740835E-1,1.260618530E1,-5.739664307E0,2.353705444E0,1.404989621E1
6.887430833E-1,1.098640366E1,-5.854026489E0,1.813029785E0,1.258005439E1
6.987110833E-1,8.677754517E0,-6.069727936E0,9.740245056E-1,1.063455426E1
7.086800835E-1,6.506369934E0,-6.260431366E0,4.755610657E-1,9.041681754E0
7.186490833E-1,4.599934387E0,-6.297554169E0,5.472619629E-1,7.817805353E0
7.286180835E-1,3.425925751E0,-6.092181244E0,9.924362183E-1,7.059502051E0
7.385860835E-1,3.018023987E0,-5.798941040E0,1.504820709E0,6.708253971E0
7.485550833E-1,3.491489410E0,-5.469176788E0,1.898951111E0,6.760799388E0
7.585240835E-1,4.688250732E0,-5.038222961E0,2.132166138E0,7.204826020E0
7.684920835E-1,6.145769806E0,-4.615651703E0,2.259251862E0,8.011176326E0
