"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.823083196E-3,-4.564158783E0,6.600075073E0,6.705306244E0,1.045723043E1
1.279208343E-2,-3.582350464E0,5.709427185E0,5.697901154E0,8.825920416E0
2.276108321E-2,-3.038980408E0,4.292024689E0,4.236490173E0,6.753127189E0
3.272908321E-2,-2.908302155E0,3.141816559E0,1.992506561E0,4.722215064E0
4.269808345E-2,-3.139720917E0,2.092648315E0,2.275268555E-1,3.780051968E0
5.266708322E-2,-3.861819305E0,2.266287231E0,4.349954224E-1,4.498769519E0
6.263608299E-2,-3.375630341E0,2.872526550E0,4.517455902E0,6.328799002E0
7.260408346E-2,-3.417243805E0,1.701511688E0,1.025218048E1,1.093983098E1
8.257308323E-2,-1.289268951E0,-7.509883118E-1,1.346569794E1,1.354810757E1
9.254208300E-2,1.575174408E0,-4.572541351E0,1.599798203E1,1.671301103E1
1.025100830E-1,4.726121979E0,-5.803731079E0,1.188693100E1,1.404701577E1
1.124790832E-1,5.731431427E0,-4.089645538E0,8.519234161E0,1.105223315E1
1.224480830E-1,-1.366957397E0,-3.501069489E0,1.170356232E1,1.229225085E1
1.324160830E-1,-2.081721039E0,8.875044250E-1,1.217672836E1,1.238523073E1
1.423850833E-1,3.851490784E-1,4.149071960E0,1.187510559E1,1.258496209E1
1.523540830E-1,1.349743195E0,3.791914673E0,1.101783829E1,1.173001211E1
1.623230833E-1,2.258503418E0,2.928510132E0,9.066795502E0,9.792026856E0
1.722910833E-1,1.770368500E0,2.702629852E0,7.814649353E0,8.456190469E0
1.822600830E-1,2.210902405E-1,3.149151306E0,7.053182831E0,7.727446078E0
1.922290833E-1,-8.737330627E-1,3.906426544E0,7.236252136E0,8.269638613E0
2.021970833E-1,-7.158114624E-1,4.052672424E0,7.886350250E0,8.895564069E0
2.121660830E-1,6.572831726E-1,3.351680145E0,8.298293610E0,8.973709255E0
2.221350833E-1,1.216669922E0,2.102378082E0,8.128995667E0,8.484152866E0
2.321040831E-1,6.908134460E-1,1.413660278E0,7.316335602E0,7.483610441E0
2.420720831E-1,1.920506287E-1,1.907034302E0,7.056775360E0,7.312437470E0
2.520410833E-1,1.637893982E0,3.426524506E0,7.286697235E0,8.217038608E0
2.620100831E-1,5.391638031E0,5.834417267E0,8.459508362E0,1.160488980E1
2.719780831E-1,9.310039673E0,8.487200775E0,1.004231689E1,1.611078969E1
2.819470833E-1,1.074989548E1,1.019769379E1,1.234857101E1,1.928834927E1
2.919160831E-1,8.992998962E0,9.307345276E0,1.417656967E1,1.919572437E1
3.018850833E-1,6.892267456E0,7.017856293E0,1.335253326E1,1.658444459E1
3.118530833E-1,4.859943695E0,4.704566803E0,1.028915359E1,1.231335386E1
3.218220831E-1,2.895428925E0,3.417243805E0,7.213050385E0,8.490533536E0
3.317910833E-1,1.332828369E0,2.835254059E0,6.064937897E0,6.826314432E0
3.417590833E-1,6.944059753E-1,2.395169220E0,6.502178650E0,6.964004771E0
3.517280831E-1,1.769620056E0,2.342927856E0,8.078700256E0,8.595711949E0
3.616970833E-1,3.505111084E0,2.935545502E0,9.906698914E0,1.091081640E1
3.716653748E-1,4.003424835E0,3.884122925E0,1.002480331E1,1.147216208E1
3.816333748E-1,3.955075378E0,5.775739288E0,7.612419891E0,1.034169823E1
3.916023751E-1,4.796775055E0,5.984555054E0,6.443201294E0,1.001692533E1
4.015713749E-1,5.578748932E0,4.492158508E0,6.735992432E0,9.832371115E0
4.115393749E-1,6.235583038E0,2.189347229E0,7.757617950E0,1.019099472E1
4.215083751E-1,7.056026917E0,7.659571838E-1,9.955497437E0,1.222645228E1
4.314773749E-1,8.098459167E0,4.779560852E-1,1.246607666E1,1.487335034E1
4.414453749E-1,8.746761017E0,3.399430847E-1,1.476918732E1,1.716829297E1
4.514143751E-1,8.264913025E0,-2.453398132E-1,1.582299591E1,1.785318399E1
4.613833749E-1,7.704328766E0,-1.145567780E0,1.549023788E1,1.733829510E1
4.713523751E-1,7.175927582E0,-1.713337097E0,1.409603714E1,1.590998817E1
4.813203751E-1,6.451134796E0,-1.508562927E0,1.113519424E1,1.295706190E1
4.912893749E-1,5.960754547E0,-5.442681885E-1,7.177424469E0,9.345707284E0
5.012583747E-1,5.735772400E0,8.216413879E-1,4.588108978E0,7.390867580E0
5.112263751E-1,5.604794769E0,1.851200409E0,3.429069214E0,6.826359427E0
5.211953749E-1,4.476590881E0,1.912572784E0,3.300486603E0,5.881412449E0
5.311643747E-1,3.482957153E0,1.225052490E0,3.702400818E0,5.228720298E0
5.411333749E-1,4.086951141E0,5.008584595E-1,3.712130585E0,5.543820191E0
5.511013749E-1,5.499713287E0,3.562591553E-1,3.596421204E0,6.580882335E0
5.610703747E-1,7.403304749E0,8.725355530E-1,3.392545166E0,8.190213806E0
5.710393749E-1,8.765771484E0,1.396595764E0,3.696712646E0,9.615347827E0
5.810073749E-1,8.460855560E0,1.474134521E0,4.588707733E0,9.737319347E0
5.909763747E-1,7.038363647E0,4.843927002E-1,3.974385223E0,8.097464852E0
6.009453749E-1,4.656516724E0,-9.327104187E-1,2.759212189E0,5.492390065E0
6.109143747E-1,3.515888672E0,-1.549727325E0,2.753224640E0,4.726877812E0
6.208823747E-1,5.518274689E0,-2.749781799E-1,3.585044861E0,6.586312716E0
6.308513749E-1,8.537196808E0,2.620600433E0,6.169420624E0,1.085417094E1
6.408203747E-1,9.491911469E0,5.013524323E0,9.779613190E0,1.452145460E1
6.507883747E-1,8.703500977E0,4.687352600E0,1.146914978E1,1.514145305E1
6.607573749E-1,8.555608521E0,1.690434723E0,9.995015259E0,1.326485344E1
6.707263747E-1,8.753646698E0,-1.706152039E0,8.304430847E0,1.218609277E1
6.806953750E-1,7.884254608E0,-4.171674957E0,8.090675354E0,1.204256494E1
6.906633750E-1,6.065087585E0,-5.113516388E0,6.381529541E0,1.018122078E1
7.006323747E-1,7.519612885E0,-2.894830170E0,2.669249268E0,8.488198354E0
7.106013750E-1,1.155731644E1,-2.694396973E-2,6.500981140E0,1.326028073E1
7.205693750E-1,1.046668442E1,1.447190552E0,1.163455582E1,1.571651145E1
7.305383747E-1,8.267008667E0,1.756746826E0,8.118966522E0,1.171952256E1
7.405073750E-1,5.762716370E0,1.347198486E-1,2.358794861E0,6.228239124E0
7.504753750E-1,2.476150818E0,-2.619402924E0,7.062313843E-1,3.673058306E0
7.604443748E-1,-2.351759491E0,-6.248007202E0,5.924679565E-1,6.702192550E0
7.704133750E-1,-5.664520569E0,-9.167386322E0,7.764353943E-1,1.080419443E1
7.803823748E-1,-5.173840942E0,-9.697883148E0,6.405180359E-1,1.101035108E1
7.903503748E-1,-2.505639496E0,-7.715555420E0,1.733395386E-1,8.114066263E0
8.003193750E-1,3.339555359E-1,-5.217999115E0,3.580554199E-1,5.240920220E0
8.102883748E-1,3.336711273E0,-3.056793365E0,2.199975128E0,5.031651654E0
8.202563748E-1,6.951693878E0,-1.271905060E0,4.596940613E0,8.430637773E0
8.302253750E-1,9.798623657E0,4.273612976E-1,7.026987305E0,1.206541395E1
8.401943748E-1,1.110091553E1,1.032403107E0,9.313931580E0,1.452740525E1
8.501633750E-1,1.105271576E1,-2.902464294E-1,1.030277527E1,1.511270813E1
8.601313750E-1,9.870474243E0,-2.588866425E0,9.923913116E0,1.423420327E1
8.701003748E-1,8.717571716E0,-4.399052124E0,7.758665771E0,1.247175251E1
8.800693750E-1,8.249345398E0,-5.307962036E0,4.782255249E0,1.091311714E1
8.900373750E-1,9.214538269E0,-4.638703766E0,1.493144989E0,1.042375988E1
9.000063748E-1,1.118908218E1,-2.434836731E0,-1.334624634E0,1.152845232E1
9.099753750E-1,1.321212524E1,-1.904040527E-1,-3.281775513E0,1.361493877E1
9.199433750E-1,1.581536179E1,2.368075562E0,-5.606141968E0,1.694586315E1
9.299123748E-1,1.996114059E1,5.480104065E0,-6.783892822E0,2.178301807E1
9.398813751E-1,2.201232513E1,5.142406311E0,-7.234755249E0,2.373454200E1
9.498503748E-1,2.269131317E1,3.039878540E0,-4.828509064E0,2.339767199E1
9.598183748E-1,2.213911148E1,1.047521667E0,-5.508544922E-2,2.216394805E1
9.697873751E-1,2.196502350E1,-4.565505981E-1,1.516047363E0,2.202201388E1
9.797563748E-1,2.098126923E1,-1.808389435E0,5.551954651E-1,2.106637540E1
9.897243748E-1,1.926059738E1,-2.407593384E0,-1.232087860E0,1.944955418E1
9.996933751E-1,1.724309280E1,-2.434088287E0,-2.427801361E0,1.758247010E1
1.009662375E0,1.424827057E1,-2.673141174E0,-3.426225128E0,1.489623834E1
1.019631375E0,1.060335022E1,-2.659968567E0,-4.517904968E0,1.182869113E1
1.029599375E0,7.356152802E0,-2.339485016E0,-5.041516113E0,9.219710348E0
1.039568375E0,5.979465637E0,-1.806443481E0,-4.788542175E0,7.870666015E0
1.049537375E0,5.561235352E0,-1.789229279E0,-3.765419769E0,6.950328488E0
1.059505375E0,5.821693726E0,-2.875819702E0,-1.639540558E0,6.697055326E0
1.069474375E0,6.880292358E0,-4.310885468E0,7.405101013E-1,8.152944969E0
1.079443375E0,8.577163696E0,-5.239254913E0,3.253783722E0,1.056430961E1
1.089412375E0,1.047401917E1,-5.233417053E0,5.025798798E0,1.274175753E1
1.099380375E0,1.136062546E1,-5.162314911E0,6.020031281E0,1.385474946E1
1.109349375E0,1.121931931E1,-4.691543884E0,5.855373688E0,1.349700377E1
1.119318375E0,9.509275360E0,-4.000730438E0,4.729564819E0,1.134905041E1
1.129286375E0,8.752748566E0,-4.072730713E0,3.645818481E0,1.031938638E1
1.139255375E0,9.915829926E0,-4.697980499E0,3.264860687E0,1.144788274E1
1.149224375E0,1.058463913E1,-5.157375183E0,4.097579041E0,1.246688647E1
1.159192375E0,1.087473587E1,-5.233267365E0,5.033881989E0,1.307619728E1
1.169161375E0,1.045875092E1,-5.097050629E0,5.193899231E0,1.274134942E1
1.179130375E0,8.676407318E0,-5.378166046E0,5.145699463E0,1.143166379E1
1.189099375E0,7.372618561E0,-5.836213531E0,4.419858856E0,1.038999736E1
1.199067375E0,7.106172638E0,-5.657634888E0,3.325933685E0,9.673073811E0
1.209036375E0,7.280110931E0,-4.706363068E0,1.765279083E0,8.846811784E0
1.219005375E0,7.090754700E0,-3.368145905E0,1.222956848E-1,7.850997725E0
1.228973375E0,6.015091553E0,-2.446213074E0,-3.094065857E0,7.192949904E0
1.238942375E0,6.859186249E0,-1.706900482E0,-5.193749542E0,8.771372729E0
1.248911375E0,4.957690430E0,-1.868863678E0,-4.906047821E0,7.220848362E0
1.258880375E0,1.203991287E1,-3.904330902E0,-1.930535431E0,1.280352564E1
1.268848375E0,1.302591248E1,-5.002297668E0,3.002456360E0,1.427277555E1
1.278817375E0,1.189501419E1,-6.020630035E0,7.254514160E0,1.517785638E1
1.288786375E0,1.121797211E1,-6.791227570E0,1.026280838E1,1.665199405E1
1.298754375E0,9.854307861E0,-7.051386566E0,1.046653473E1,1.601180143E1
1.308723375E0,9.177415466E0,-7.143445129E0,7.091503143E0,1.362142356E1
1.318692375E0,8.820856934E0,-6.507268066E0,5.424270172E0,1.223007611E1
1.328661375E0,9.097032623E0,-5.272785187E0,5.053940277E0,1.166621526E1
1.338629375E0,9.898765411E0,-3.987408142E0,3.041525116E0,1.109665965E1
1.348598375E0,1.173769135E1,-3.404669952E0,2.239642639E0,1.242502212E1
1.358567375E0,1.250783981E1,-3.243305511E0,2.299667816E0,1.312454035E1
1.368536000E0,1.199156342E1,-3.404969330E0,2.274520111E0,1.267141867E1
1.378505000E0,1.154848480E1,-4.135899353E0,1.860331421E0,1.240701405E1
1.388474000E0,1.065154999E1,-5.333109741E0,1.071172485E0,1.196014160E1
1.398442000E0,1.026325745E1,-6.034551086E0,1.405876465E0,1.198860913E1
1.408411000E0,1.097158447E1,-6.295159149E0,2.562970276E0,1.290633609E1
1.418380000E0,1.294133835E1,-7.029981079E0,3.581901398E0,1.515681002E1
1.428349000E0,1.461815140E1,-7.835755463E0,3.638184357E0,1.698015899E1
1.438317000E0,1.407567947E1,-6.620283051E0,2.187101898E0,1.570784247E1
1.448286000E0,1.329295715E1,-4.649930420E0,-4.077520752E-1,1.408867718E1
1.458255000E0,1.262579453E1,-2.683469696E0,-2.829266510E0,1.321425162E1
1.468223000E0,1.023870850E1,-1.573228455E0,-4.784350891E0,1.141035551E1
