"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.675750129E-3,-1.320254517E-1,7.090006256E0,7.148983612E0,1.006943822E1
1.164474990E-2,1.650467834E0,6.814129944E0,6.662495270E0,9.671879558E0
2.161274990E-2,2.605182495E0,5.620212708E0,6.248905334E0,8.799010432E0
3.158175014E-2,2.833906860E0,4.943769379E0,7.194638672E0,9.177946904E0
4.154975014E-2,2.278561707E0,4.117337952E0,8.391849060E0,9.621197738E0
5.151874991E-2,1.479822693E0,2.662662964E0,7.313192139E0,7.922274201E0
6.148674991E-2,1.554517365E0,9.737251282E-1,5.354814606E0,5.660274227E0
7.145575015E-2,2.652633820E0,-7.387138367E-1,5.278024292E0,5.953125628E0
8.142375015E-2,3.122955780E0,-3.728746033E-1,6.869065704E0,7.554862800E0
9.139274992E-2,3.005899200E0,2.115550690E0,8.647218018E0,9.396029170E0
1.013607499E-1,4.187392273E0,1.543590088E0,7.706274719E0,8.905256563E0
1.113297502E-1,5.436844025E0,7.023394775E-1,5.015769653E0,7.430376767E0
1.212977502E-1,3.063529358E0,-7.777825928E-1,2.465073853E0,4.008334690E0
1.312667499E-1,-1.181044006E0,-5.366340637E-1,2.243384857E0,2.591450690E0
1.412347499E-1,-1.342109070E0,3.682342529E-1,9.053323517E0,9.159668112E0
1.512037502E-1,9.623487854E-1,1.084943848E0,8.554411011E0,8.676471983E0
1.611717502E-1,4.180356903E0,1.468446350E0,5.582790527E0,7.127360563E0
1.711407499E-1,3.470233612E0,1.014290771E0,7.288493500E0,8.135935385E0
1.811087499E-1,4.786596222E0,1.303040314E0,6.600973206E0,8.257255277E0
1.910777502E-1,6.941515045E0,7.087760925E-1,1.547975967E1,1.697969241E1
2.010457502E-1,6.836283875E0,-9.340576172E-1,1.156195679E1,1.346425214E1
2.110147499E-1,4.645290070E0,-5.342091064E0,1.010338989E1,1.233673961E1
2.209827499E-1,1.576371918E0,-7.756719818E0,1.109911926E1,1.363239154E1
2.309517502E-1,2.261946259E0,-6.908882904E0,8.286917267E0,1.102370453E1
2.409197502E-1,3.077749786E0,-4.005071411E0,4.598287811E0,6.830621608E0
2.508887500E-1,4.145629120E0,-1.270258484E0,2.069745941E0,4.804544274E0
2.608567500E-1,6.460265808E0,4.010160828E-1,6.915618896E-2,6.473069657E0
2.708257502E-1,8.485703888E0,1.324445801E0,-1.525777130E0,8.722919408E0
2.807937502E-1,9.763147430E0,1.177152100E0,-2.017654266E0,1.003870826E1
2.907627500E-1,1.015877472E1,-2.993774414E-3,-1.562600555E0,1.027825050E1
3.007307500E-1,8.273744659E0,-2.559976501E0,3.395389252E0,9.302526460E0
3.106997502E-1,7.904312897E0,-5.576802979E0,6.624624023E0,1.172452717E1
3.206677502E-1,7.543862457E0,-8.379724274E0,6.372398529E0,1.295133594E1
3.306367500E-1,6.982529755E0,-1.041713745E1,5.669909363E0,1.376300645E1
3.406047500E-1,6.985822906E0,-1.131272507E1,4.372407532E0,1.399633587E1
3.505737502E-1,8.707692261E0,-1.142948227E1,2.376158752E0,1.456375981E1
3.605417502E-1,1.141122025E1,-1.048958679E1,1.181044006E-1,1.550036539E1
3.705107500E-1,1.352317841E1,-9.047186279E0,-8.054750061E-1,1.629038746E1
3.804787500E-1,1.467697906E1,-8.399183807E0,-2.248324585E-1,1.691184652E1
3.904477502E-1,1.524624527E1,-9.197174377E0,2.417472839E0,1.796886714E1
4.004157502E-1,1.550595520E1,-1.045021866E1,5.656587067E0,1.953557509E1
4.103847500E-1,1.617790787E1,-1.090078171E1,8.142617340E0,2.113892055E1
4.203527500E-1,1.793704971E1,-1.102681961E1,9.145082703E0,2.295563201E1
4.303217502E-1,1.951192474E1,-1.135838013E1,8.519383850E0,2.413105691E1
4.402897502E-1,2.087049957E1,-1.140538239E1,7.318880310E0,2.488426227E1
4.502587500E-1,2.240510834E1,-1.081905167E1,5.744903412E0,2.553516543E1
4.602267500E-1,2.378673523E1,-1.010982651E1,4.478985901E0,2.623125387E1
4.701957502E-1,2.477782425E1,-9.234297180E0,2.829266510E0,2.659356253E1
4.801637502E-1,2.579885101E1,-8.512797546E0,7.397616577E-1,2.717711690E1
4.901317502E-1,2.621932663E1,-8.538843384E0,2.168989563E-1,2.757556854E1
5.001007500E-1,2.679802322E1,-7.797285461E0,1.823507996E0,2.796885573E1
5.100687500E-1,2.742237488E1,-6.629264374E0,3.708388367E0,2.845498084E1
5.200377502E-1,2.789209808E1,-5.534291382E0,3.859424286E0,2.869656203E1
5.300057502E-1,2.804672653E1,-4.275708618E0,2.834206238E0,2.851198482E1
5.399747500E-1,2.735127274E1,-2.755170593E0,2.441423035E-1,2.749077465E1
5.499427500E-1,2.555860062E1,-1.693877563E0,-1.957629089E0,2.568936742E1
5.599117503E-1,2.311433350E1,-1.483265533E0,-4.362378387E0,2.356910764E1
5.698797503E-1,2.030632278E1,-2.233655090E0,-5.729485474E0,2.121704418E1
5.798487500E-1,1.728485596E1,-3.989653473E0,-5.339097290E0,1.852537557E1
5.898167500E-1,1.373858047E1,-5.307512970E0,-3.892804871E0,1.523391667E1
5.997857503E-1,1.158470947E1,-6.298452301E0,-1.452429657E0,1.326595443E1
6.097537503E-1,1.036175262E1,-7.300169220E0,8.084687805E-1,1.270086650E1
6.197227500E-1,8.842112732E0,-8.136480103E0,2.426603851E0,1.225861625E1
6.296907500E-1,7.778424683E0,-8.230484619E0,3.828738098E0,1.195424623E1
6.396597503E-1,6.516997833E0,-7.679330750E0,4.127367096E0,1.088478482E1
6.496277503E-1,5.238955536E0,-6.346951447E0,2.996319122E0,8.758331808E0
6.595967500E-1,3.288810883E0,-4.497996368E0,4.031117249E-1,5.586657983E0
6.695647500E-1,2.964435425E0,-2.310445404E0,-2.458487549E0,4.491124178E0
6.795339999E-1,4.069886627E0,-5.611830139E-1,-3.446133728E0,5.362344749E0
6.895019999E-1,5.520220642E0,4.483177185E-1,-2.386936340E0,6.030861448E0
6.994710001E-1,6.374793549E0,4.623884583E-1,-1.019829254E0,6.472391180E0
7.094390001E-1,7.523804169E0,2.866539001E-1,-5.837860107E-3,7.529265151E0
7.194079999E-1,8.923693085E0,-3.465293884E-1,6.860234070E-1,8.956729816E0
7.293759999E-1,8.844358063E0,-1.670077057E0,9.716294861E-1,9.052949286E0
7.393450001E-1,9.111402740E0,-2.751278687E0,2.823278961E0,9.927643144E0
7.493130001E-1,8.728349304E0,-3.818559265E0,4.004921722E0,1.033464438E1
7.592819999E-1,7.800129547E0,-4.624782715E0,2.907703400E0,9.522886914E0
7.692499999E-1,7.326514435E0,-5.037923584E0,1.653461609E0,9.043916358E0
7.792190001E-1,8.549770660E0,-5.150489502E0,3.372486877E-1,9.986984386E0
7.891870001E-1,1.068732559E1,-5.778583374E0,1.492845612E0,1.224089630E1
7.991559999E-1,1.130628845E1,-8.958720245E0,5.353018341E0,1.538654062E1
8.091239999E-1,1.006417145E1,-1.246443008E1,8.007448425E0,1.791001939E1
8.190930001E-1,7.953710175E0,-1.432416275E1,7.537874908E0,1.803504095E1
8.290610001E-1,6.492149506E0,-1.444496155E1,2.447709961E0,1.602486204E1
8.390299999E-1,5.587879944E0,-1.225097397E1,-2.766097870E0,1.374634726E1
8.489979999E-1,6.499783630E0,-9.112600250E0,-3.441493378E0,1.171027528E1
8.589670002E-1,7.423213348E0,-8.192613373E0,-2.789149933E0,1.140185808E1
8.689350002E-1,9.258696442E0,-7.408992920E0,-1.873354340E0,1.200525270E1
8.789039999E-1,1.091485245E1,-6.010451202E0,-1.030008087E0,1.250281745E1
8.888719999E-1,9.929451599E0,-5.128934326E0,-1.356479187E0,1.125788667E1
8.988410002E-1,9.967921600E0,-9.229058075E0,-1.012344818E0,1.362203421E1
9.088090002E-1,1.013078293E1,-9.610165558E0,-8.141569519E-1,1.398752646E1
9.187779999E-1,1.100182159E1,-6.320157166E0,2.797233124E0,1.299265093E1
9.287459999E-1,1.090721832E1,-5.195096741E0,7.651488647E0,1.430040979E1
9.387150002E-1,6.086493073E0,-7.752827911E0,9.140741730E0,1.344265219E1
9.486830002E-1,3.664679260E0,-9.112450562E0,8.460107117E0,1.296302595E1
9.586519999E-1,3.450624390E0,-1.001836670E1,5.238057404E0,1.181997146E1
9.686199999E-1,2.714006195E0,-9.854008484E0,3.007246399E-1,1.022534831E1
9.785890002E-1,2.811603241E0,-7.695796509E0,-3.307971039E0,8.835896620E0
9.885570002E-1,4.205055542E0,-4.780908051E0,-4.534520416E0,7.816741604E0
9.985250002E-1,7.846383362E0,-1.618284760E0,-6.201454010E0,1.013126889E1
1.008494000E0,6.590345306E0,-1.133143616E0,-6.516399078E0,9.337029649E0
1.018462000E0,1.319057007E0,-3.067421265E0,-5.051096191E0,6.054961382E0
1.028431000E0,3.589535522E-1,-5.478756866E0,-2.907553711E0,6.212849027E0
1.038399000E0,3.034639435E0,-8.295150146E0,6.429130554E-1,8.856178050E0
1.048368000E0,4.581672363E0,-1.068373306E1,6.803352356E-1,1.164460089E1
1.058336000E0,5.442532196E0,-1.007449997E1,-2.529739380E-2,1.145064829E1
1.068305000E0,5.461093597E0,-7.856412506E0,3.413651276E0,1.015872904E1
1.078273000E0,8.039332123E0,-5.108127594E0,2.708318024E0,9.902465098E0
1.088242000E0,8.621172180E0,-4.575984192E0,4.547543335E-1,9.770928440E0
1.098210000E0,7.721093903E0,-5.532644806E0,-1.961221619E0,9.699063864E0
1.108179000E0,6.513105927E0,-6.131549377E0,-4.116140442E0,9.846779104E0
