"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.632916655E-3,-2.124082947E-1,7.407945099E0,6.503825226E0,9.860147587E0
1.960791671E-2,-1.327738953E-1,7.364385681E0,6.446793823E0,9.788409266E0
2.958191675E-2,-1.944456482E-1,7.382198639E0,6.583459625E0,9.893260660E0
3.955591656E-2,-1.417552185E-1,7.386689301E0,6.763086090E0,1.001611735E1
4.952991661E-2,-3.083587646E-2,7.345824280E0,6.863826599E0,1.005356657E1
5.950391665E-2,3.487747192E-2,7.280859375E0,6.913074188E0,1.004005600E1
6.947791670E-2,8.322692871E-2,7.302264862E0,6.816375275E0,9.989643173E0
7.945191674E-2,1.121168518E-1,7.241042175E0,6.704707489E0,9.869060973E0
8.942691656E-2,1.377136230E-1,7.288044434E0,6.504124603E0,9.769247339E0
9.940091660E-2,8.008346558E-2,7.326364746E0,6.376140747E0,9.712734145E0
1.093749166E-1,-7.813751221E-2,7.277266846E0,6.293213196E0,9.621291522E0
1.193489167E-1,-1.707948303E-1,7.245083771E0,6.241271210E0,9.564197616E0
1.293229167E-1,-2.263293457E-1,7.226821747E0,6.309828644E0,9.596463674E0
1.392969165E-1,-2.014810181E-1,7.236252136E0,6.211782532E0,9.538877387E0
1.492719166E-1,-1.811233521E-1,7.261998596E0,6.055806885E0,9.457390037E0
1.592459166E-1,-2.291734314E-1,7.300169220E0,6.138285370E0,9.540625681E0
1.692199167E-1,-1.407073975E-1,7.301516418E0,6.058650970E0,9.488898364E0
1.791939167E-1,-2.799179077E-2,7.269183655E0,5.912854156E0,9.370360656E0
1.891679165E-1,3.532653809E-2,7.311844940E0,6.002667389E0,9.460250535E0
1.991419166E-1,4.041595459E-3,7.328161011E0,6.162085876E0,9.574615527E0
2.091169166E-1,-7.484436035E-4,7.320826263E0,6.129753113E0,9.548212972E0
2.190909167E-1,1.541793823E-2,7.335046692E0,6.154002686E0,9.574700869E0
2.290649167E-1,-4.849914551E-2,7.298223267E0,6.148015137E0,9.542772403E0
2.390389165E-1,-1.297801208E-1,7.361242218E0,6.173312531E0,9.608044415E0
2.490129166E-1,-2.737806702E-1,7.390581207E0,6.377787323E0,9.765849557E0
2.589869166E-1,-3.411405945E-1,7.445966034E0,6.517297211E0,9.901209523E0
2.689609167E-1,-2.498304749E-1,7.509733429E0,6.675218811E0,1.005072423E1
