"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-3.176666796E-4,3.608695679E0,2.160008240E0,9.049281921E0,9.978868843E0
9.656124981E-3,3.736978912E0,1.949994965E0,8.306077423E0,9.314419677E0
1.963012503E-2,4.104165344E0,1.803150330E0,8.160729675E0,9.310909360E0
2.960412507E-2,4.173471222E0,2.028431854E0,7.633376312E0,8.933131128E0
3.957712511E-2,3.643273773E0,2.338437195E0,7.376360779E0,8.552919422E0
4.955112492E-2,3.268004150E0,2.270628204E0,7.581883392E0,8.562742513E0
5.952512496E-2,3.271596680E0,2.179467773E0,7.733069000E0,8.674893704E0
6.949912501E-2,3.325634308E0,2.241738281E0,8.047415314E0,8.991447453E0
7.947312505E-2,3.445085907E0,2.316432953E0,8.240813141E0,9.227430832E0
8.944712509E-2,3.660637665E0,2.051334229E0,8.030500488E0,9.060749325E0
9.942112491E-2,3.833079071E0,2.008373566E0,7.662715302E0,8.800185529E0
1.093951249E-1,3.901486816E0,2.166594543E0,7.369774475E0,8.615643163E0
1.193691250E-1,3.678151245E0,2.128723297E0,7.247329102E0,8.401430745E0
1.293431250E-1,3.410956879E0,2.027084656E0,7.611821136E0,8.583910533E0
1.393171251E-1,2.806813202E0,1.832639008E0,8.585246887E0,9.216465168E0
1.492911249E-1,3.080893250E0,1.130898285E0,8.402926025E0,9.021086405E0
1.592651249E-1,3.347339172E0,1.233285370E0,8.528514862E0,9.244524763E0
1.692391250E-1,3.480711823E0,2.106719055E0,9.242979126E0,1.009882583E1
1.792131250E-1,4.330794067E0,2.180814972E0,8.330027618E0,9.638521221E0
1.891871251E-1,4.127666473E0,2.366129608E0,8.631201324E0,9.855649960E0
1.991611249E-1,4.688999176E0,3.029100952E0,9.417216797E0,1.094742609E1
2.091351249E-1,4.715494080E0,3.218307495E0,8.538843384E0,1.027157407E1
2.191081250E-1,4.922214203E0,3.416645050E0,8.162226562E0,1.012539375E1
2.290821250E-1,5.712720337E0,3.025209045E0,7.891739044E0,1.020130426E1
2.390561251E-1,5.995332642E0,1.705403595E0,7.545958099E0,9.787435749E0
2.490301251E-1,5.510790253E0,7.810757446E-1,7.442972260E0,9.293907929E0
2.590041249E-1,5.219346313E0,4.400848389E-1,7.215146027E0,8.915917384E0
2.689781250E-1,5.488486633E0,4.583468628E-1,7.004384308E0,8.910385340E0
2.789521250E-1,6.038742371E0,1.209185486E0,6.589447174E0,9.019387619E0
2.889261250E-1,6.484665070E0,1.500330048E0,5.930367737E0,8.914658311E0
2.989001251E-1,6.421346741E0,9.654922485E-2,5.435945892E0,8.413829298E0
3.088741249E-1,5.871989136E0,-2.586022339E0,5.621110840E0,8.530220104E0
3.188481249E-1,5.054089966E0,-4.781506805E0,7.120243378E0,9.955124232E0
3.288221250E-1,5.812263336E0,-4.347708893E0,8.890611877E0,1.147728005E1
3.387961250E-1,7.062014465E0,2.407743073E0,6.580615540E0,9.948556473E0
3.487701251E-1,6.413113861E0,6.800358582E-1,3.130140839E0,7.168560513E0
3.587441249E-1,5.197342072E0,-2.857557678E0,2.505789185E0,6.438709493E0
3.687181249E-1,6.079308014E0,-2.705324249E0,2.087708588E0,6.973900800E0
3.786921250E-1,6.947203217E0,-2.278262329E0,1.809886322E0,7.531918764E0
3.886661250E-1,5.952970734E0,-2.582579498E0,1.093326416E0,6.580496947E0
3.986391251E-1,4.581522675E0,-2.759212189E0,1.152603149E-1,5.349475382E0
4.086131251E-1,4.041296082E0,-2.993475037E0,5.132826233E-1,5.055336375E0
4.185871249E-1,4.386178894E0,-3.632645874E0,4.284091187E-1,5.711235918E0
4.285611250E-1,5.419929199E0,-4.774471436E0,8.229885864E-1,7.269698771E0
4.385351250E-1,5.682632904E0,-5.591322784E0,1.994751892E0,8.217922019E0
4.485091250E-1,5.228926392E0,-6.202501831E0,3.309168549E0,8.761466581E0
4.584831251E-1,4.519701233E0,-6.568939819E0,4.183650055E0,9.004532046E0
4.684571249E-1,4.046385498E0,-7.405400391E0,5.137316895E0,9.879535182E0
4.784311249E-1,4.405339050E0,-8.349187775E0,6.597380676E0,1.151700397E1
4.884051250E-1,5.755830688E0,-8.610095215E0,8.524323578E0,1.341370266E1
4.983791250E-1,6.877747650E0,-9.005872192E0,1.084345093E1,1.568405479E1
5.083531251E-1,7.261399841E0,-8.897796936E0,1.271695496E1,1.713533371E1
5.183271249E-1,7.663314056E0,-8.162076874E0,1.453372696E1,1.834598323E1
5.283011249E-1,8.155789948E0,-7.188800812E0,1.639136398E1,1.966907675E1
5.382751250E-1,8.466244354E0,-6.990313568E0,1.748573822E1,2.064685977E1
5.482491250E-1,1.007210495E1,-6.738986206E0,1.850661530E1,2.212139333E1
5.582231251E-1,8.652906189E0,-7.951464844E0,1.851888977E1,2.193280322E1
5.681971251E-1,6.525380402E0,-7.548053741E0,1.864058670E1,2.114296992E1
5.781701249E-1,7.057823181E0,-6.562054138E0,1.805590256E1,2.046677893E1
