"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-2.129166387E-5,-1.943408661E0,4.528083801E0,8.650361481E0,9.955357044E0
9.953708388E-3,-2.016456757E0,4.590054932E0,8.021968231E0,9.459739765E0
1.992770843E-2,-1.972448273E0,4.760700073E0,7.688461761E0,9.255661059E0
2.990170848E-2,-1.990261230E0,4.772525482E0,7.927963715E0,9.465238925E0
3.987570852E-2,-2.113754425E0,4.774920502E0,8.339158630E0,9.839176298E0
4.984970833E-2,-2.132465515E0,4.867877197E0,8.825497284E0,1.030208910E1
5.982370838E-2,-2.167492676E0,4.821922760E0,9.436526642E0,1.081651509E1
6.979770842E-2,-2.219883728E0,4.745132446E0,9.885293427E0,1.118763567E1
7.977270847E-2,-2.234852600E0,4.469705200E0,9.894873505E0,1.108518617E1
8.974670852E-2,-2.357447662E0,4.215683441E0,9.607471161E0,1.075328082E1
9.972070833E-2,-2.522853699E0,4.753964081E0,9.434131622E0,1.086129848E1
1.096947084E-1,-2.562521210E0,5.177732849E0,9.177116089E0,1.084411786E1
1.196687084E-1,-2.756068726E0,5.095404053E0,8.944200439E0,1.065634922E1
1.296427085E-1,-2.952310638E0,4.915029144E0,9.191785583E0,1.083340075E1
1.396167085E-1,-2.924468536E0,4.785548401E0,9.980495453E0,1.144833085E1
1.495907083E-1,-3.004552002E0,4.544549561E0,1.065424438E1,1.196633556E1
1.595657084E-1,-4.022584991E0,4.066892853E0,1.048210236E1,1.194132645E1
1.695397084E-1,-5.135969696E0,3.934118958E0,9.815987549E0,1.175623614E1
1.795137085E-1,-4.761149139E0,3.611240387E0,9.867630157E0,1.153601852E1
1.894877085E-1,-4.905748444E0,2.700234833E0,9.756561127E0,1.124936091E1
1.994617083E-1,-4.593198395E0,2.246977386E0,9.777816925E0,1.103413262E1
2.094357084E-1,-3.796704712E0,2.283351746E0,1.005264542E1,1.098564253E1
2.194097084E-1,-3.343147888E0,2.178419952E0,1.028705795E1,1.103384396E1
2.293837084E-1,-2.930156708E0,2.098037109E0,1.025487488E1,1.086968430E1
2.393587085E-1,-2.464175720E0,1.899250488E0,1.008348129E1,1.055253095E1
2.493327083E-1,-1.931433563E0,1.708696747E0,9.827363892E0,1.016007683E1
2.593067084E-1,-1.659898224E0,1.648072815E0,9.555080109E0,9.837223287E0
2.692807084E-1,-1.730551300E0,1.693278809E0,9.215586090E0,9.528327655E0
2.792547084E-1,-1.967807922E0,1.677860870E0,8.761280823E0,9.134961783E0
2.892287085E-1,-2.266137543E0,1.870360565E0,8.328530731E0,8.831650590E0
2.992027085E-1,-2.604134674E0,2.127974854E0,8.120613098E0,8.789434081E0
3.091767083E-1,-3.093916168E0,2.073637848E0,7.998018036E0,8.822731078E0
3.191517084E-1,-3.558100891E0,1.904639282E0,7.982899475E0,8.945077796E0
3.291257084E-1,-3.944597168E0,1.677860870E0,7.988887024E0,9.066277064E0
3.390997085E-1,-3.951931915E0,1.725611572E0,8.316256256E0,9.367796928E0
3.490737085E-1,-4.166286163E0,1.593885498E0,8.962911530E0,1.001160299E1
3.590477083E-1,-4.386328583E0,1.316961365E0,9.229656830E0,1.030343782E1
3.690217084E-1,-4.172273712E0,1.275497589E0,9.337133331E0,1.030615451E1
3.789957084E-1,-3.634292450E0,1.403331757E0,9.600735168E0,1.036105870E1
3.889707085E-1,-3.106490021E0,1.397344208E0,9.946216736E0,1.051332861E1
3.989447085E-1,-2.800376587E0,1.326541443E0,1.029304550E1,1.074935379E1
4.089187083E-1,-2.751578064E0,1.148561554E0,1.081965042E1,1.122297691E1
4.188927084E-1,-2.704725494E0,8.491841125E-1,1.127245880E1,1.162346683E1
4.288667084E-1,-2.723436584E0,5.562432861E-1,1.128129044E1,1.161869301E1
4.388407085E-1,-2.664459229E0,4.424798584E-1,1.089733887E1,1.122707111E1
4.488147085E-1,-2.481240234E0,4.412823486E-1,1.037746994E1,1.067909947E1
4.587887083E-1,-2.179916840E0,5.641767883E-1,9.928553467E0,1.018069285E1
4.687637084E-1,-1.760189667E0,9.333091736E-1,9.626182251E0,9.830194220E0
4.787377084E-1,-1.257684631E0,1.332079926E0,9.528285828E0,9.702805696E0
4.887117085E-1,-9.629475403E-1,1.522034912E0,9.303303680E0,9.476039131E0
4.986857085E-1,-7.000941467E-1,1.678908691E0,9.043743439E0,9.224866481E0
5.086597083E-1,-3.791615295E-1,1.914818115E0,8.675060120E0,8.891960411E0
5.186337084E-1,-2.996768188E-1,2.110760651E0,8.289312286E0,8.559077924E0
5.286077084E-1,-3.960763550E-1,2.109563141E0,7.774832153E0,8.065677165E0
5.385817084E-1,-3.382965088E-1,2.193388824E0,7.329508209E0,7.658138785E0
5.485567085E-1,-4.189787292E-1,2.379152527E0,7.181765442E0,7.577180530E0
5.585307083E-1,-6.818321228E-1,2.486629028E0,7.459138641E0,7.892209338E0
5.685047084E-1,-9.916877747E-1,2.500550079E0,7.879614258E0,8.326134529E0
5.784787084E-1,-1.284029846E0,2.345023499E0,8.002359009E0,8.437156960E0
5.884528751E-1,-1.313368835E0,2.090402985E0,8.077053680E0,8.445917268E0
5.984268752E-1,-1.221310272E0,1.992207184E0,8.236621857E0,8.561683704E0
6.084008750E-1,-1.200054474E0,1.905387726E0,8.349187775E0,8.647518119E0
6.183748750E-1,-1.205293579E0,1.805695038E0,8.425678711E0,8.700880928E0
6.283498751E-1,-1.302291870E0,1.578916626E0,8.562344513E0,8.803560949E0
6.383238751E-1,-1.841770020E0,5.315446472E-1,8.502319336E0,8.715738099E0
6.482978752E-1,-5.342390442E-1,1.379531250E0,9.330996094E0,9.447539676E0
6.582718750E-1,-1.428030396E-1,2.245031433E0,9.672585754E0,9.930733811E0
6.682458750E-1,-3.543132019E-1,1.504072266E0,9.951156464E0,1.007041639E1
6.782198751E-1,-4.596940613E-1,1.348845062E0,1.024768982E1,1.034629635E1
6.881938751E-1,-4.090992737E-1,1.975292358E0,1.080063995E1,1.098740031E1
6.981678752E-1,-4.264631653E-1,2.153122559E0,1.139984390E1,1.160923118E1
7.081418750E-1,-4.873864746E-1,2.452799377E0,1.178110107E1,1.204359219E1
7.181168750E-1,-3.420387268E-1,2.787054291E0,1.231040039E1,1.262658386E1
7.280908751E-1,-1.416055298E-1,3.291954346E0,1.284898041E1,1.326473946E1
7.380648751E-1,-2.242337036E-1,3.927532654E0,1.355670868E1,1.411595352E1
