"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.058875117E-3,6.298901367E-1,3.053500214E0,9.830357666E0,1.031293154E1
1.103287516E-2,2.950364685E-1,3.084186401E0,9.346114655E0,9.846273986E0
2.100687497E-2,1.185534668E-1,2.923869781E0,8.881630554E0,9.351279630E0
3.098087502E-2,1.826202393E-2,2.607278137E0,9.007518768E0,9.377293167E0
4.095487506E-2,1.233435059E-1,2.270029449E0,9.340875549E0,9.613542705E0
5.092887511E-2,3.369493103E-1,2.071242828E0,9.641450500E0,9.867175353E0
6.090287515E-2,3.462300110E-1,2.176324310E0,1.004111938E1,1.028009442E1
7.087687496E-2,4.096980286E-1,2.418520660E0,1.034977753E1,1.063649329E1
8.085087501E-2,5.219645691E-1,2.599943390E0,1.028226791E1,1.061871867E1
9.082487505E-2,6.911128235E-1,2.692001953E0,1.001447479E1,1.039298883E1
1.007988751E-1,7.500901794E-1,2.841391296E0,9.738598480E0,1.017233700E1
1.107728751E-1,4.781057739E-1,3.130889282E0,9.300908661E0,9.825373008E0
1.207468752E-1,2.507286072E-1,3.272794189E0,8.848100281E0,9.437315573E0
1.307208750E-1,3.109034729E-1,3.187621307E0,8.699459381E0,9.270285006E0
1.406948750E-1,4.415817261E-1,2.984493713E0,8.698710938E0,9.207049968E0
1.506688751E-1,6.150709534E-1,2.755769348E0,8.763975220E0,9.207596789E0
1.606428751E-1,1.077010345E0,2.753973083E0,8.715925140E0,9.203894289E0
1.706168752E-1,1.154549103E0,2.714904327E0,8.788673859E0,9.270624430E0
1.805908750E-1,1.064286804E0,2.713706818E0,8.743318176E0,9.216426847E0
1.905648750E-1,1.373992767E0,3.097359009E0,8.636739807E0,9.277648595E0
2.005388751E-1,2.104174347E0,3.855083313E0,8.827293549E0,9.859529828E0
2.105128751E-1,1.764231262E0,3.695215759E0,8.894653473E0,9.791935042E0
2.204868752E-1,1.621877289E0,3.541485443E0,8.883875885E0,9.700301842E0
2.304608750E-1,1.560055847E0,3.442391510E0,8.584199066E0,9.379355370E0
2.404348750E-1,1.455273743E0,3.280278625E0,7.960595856E0,8.732075120E0
2.504088751E-1,1.163680115E0,3.062481537E0,7.436086578E0,8.125781696E0
2.603828751E-1,7.976911926E-1,2.913840637E0,7.100783844E0,7.716729210E0
2.703568751E-1,5.168751526E-1,2.861599274E0,6.884034576E0,7.473007586E0
2.803308752E-1,4.704716492E-1,2.816542969E0,6.768923950E0,7.346603930E0
2.903048750E-1,5.267546082E-1,2.790946198E0,6.767726440E0,7.339548506E0
