"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-2.445208331E-3,-2.877017212E-1,2.725382538E0,7.236551514E0,7.738097962E0
7.593791663E-3,-3.677851868E-1,2.947221222E0,6.319558411E0,6.982707024E0
1.763279166E-2,-7.890092468E-1,3.216660919E0,6.540648651E0,7.331406948E0
2.767179166E-2,-1.199605408E0,2.643951874E0,6.877747650E0,7.465450247E0
3.771079166E-2,-1.586401062E0,1.845811615E0,6.915768585E0,7.331544447E0
4.774979167E-2,-4.379891968E-1,1.209484863E0,6.481371918E0,6.607788594E0
5.778979167E-2,1.245709534E0,4.471202087E-1,5.646108856E0,5.799159762E0
6.782879167E-2,2.204465790E0,1.887574768E-1,4.808151398E0,5.292789309E0
7.786779167E-2,2.891986084E0,-1.407073975E-2,4.690945129E0,5.510784672E0
8.790679167E-2,4.411476288E0,-2.041754150E-1,5.024900665E0,6.689726253E0
9.794579167E-2,4.785548401E0,-7.173083496E-1,5.343737640E0,7.209128708E0
1.079857917E-1,4.344116364E0,-1.681453400E0,6.144272919E0,7.710429444E0
1.180247917E-1,5.361999664E0,-2.442171478E0,8.189170532E0,1.008849622E1
1.280637917E-1,6.422394562E0,-3.695215759E0,9.563762054E0,1.209823607E1
1.381027917E-1,6.501729584E0,-6.320606232E0,1.008587631E1,1.356272287E1
1.481417917E-1,4.946912842E0,-7.212002563E0,9.752669220E0,1.309959864E1
1.581817917E-1,4.857398987E0,-6.713688812E0,7.431446228E0,1.113078324E1
1.682207917E-1,6.182892609E0,-6.592141571E0,6.814728699E0,1.131923225E1
1.782597917E-1,6.978637848E0,-6.595135345E0,7.924071808E0,1.244942209E1
1.882987917E-1,7.448061676E0,-6.782395935E0,1.000624191E1,1.419857016E1
1.983377917E-1,7.496411133E0,-5.509742432E0,1.080063995E1,1.425507857E1
2.083767917E-1,5.497767334E0,-4.175267487E0,9.689799957E0,1.189750089E1
2.184167917E-1,3.155438232E0,-4.036805420E0,7.608977051E0,9.173282956E0
2.284557917E-1,4.118535461E0,-4.150269470E0,4.895270233E0,7.625663360E0
2.384947917E-1,5.950276337E0,-3.866010590E0,3.608695679E0,7.960810943E0
2.485337917E-1,6.188431091E0,-4.193529510E0,5.052144012E0,9.022556636E0
2.585727917E-1,6.691085815E0,-4.848717041E0,5.558690643E0,9.958901948E0
2.686127917E-1,5.971382446E0,-6.294261017E0,5.070855103E0,1.004931349E1
2.786517917E-1,5.992787933E0,-6.850653992E0,4.767735443E0,1.027503132E1
2.886907917E-1,5.391338654E0,-7.057224426E0,4.159101105E0,9.806583048E0
2.987297917E-1,4.504582672E0,-7.508535919E0,4.194577332E0,9.708957498E0
3.087687917E-1,4.672683105E0,-8.248896332E0,4.702171783E0,1.058247030E1
3.188087917E-1,5.213508453E0,-9.332043915E0,5.903274078E0,1.221132093E1
3.288477917E-1,5.574407959E0,-1.017179764E1,7.111860809E0,1.360580962E1
3.388867917E-1,9.568103027E0,-9.718989258E0,1.064661026E1,1.730195532E1
3.489257917E-1,1.310030777E1,-6.653513947E0,1.502710098E1,2.101668564E1
3.589647917E-1,1.445993042E1,-4.066743164E0,1.598750381E1,2.193691560E1
3.690047917E-1,1.504192017E1,-2.602338409E0,1.416998337E1,2.082834502E1
3.790437917E-1,1.504656052E1,-2.076182556E0,1.279673904E1,1.986116934E1
3.890827917E-1,1.414812881E1,-2.328857117E0,1.200428696E1,1.870016122E1
3.991217917E-1,1.418525162E1,-3.617826691E0,1.027463379E1,1.788513721E1
4.091607917E-1,1.452803879E1,-2.539020081E0,8.739575958E0,1.714324129E1
4.191997917E-1,1.518876480E1,-4.870870972E-1,9.144483948E0,1.773576659E1
4.292397917E-1,1.495749573E1,1.440005493E-1,9.852361908E0,1.791134975E1
4.392787917E-1,1.467563187E1,1.691482544E-2,9.813742218E0,1.765457428E1
4.493177917E-1,1.355027206E1,-3.460803223E-1,9.352850647E0,1.646831685E1
4.593567917E-1,1.162108383E1,-1.513502655E0,6.674021301E0,1.348639463E1
4.693957917E-1,1.126347748E1,-6.646179199E-1,3.721860352E0,1.188107261E1
4.794357917E-1,1.090138046E1,1.498384094E-1,2.857707367E0,1.127071599E1
4.894747917E-1,1.049707123E1,-1.219963074E-1,2.146386566E0,1.071495976E1
4.995137917E-1,9.573342133E0,-4.484674072E-1,2.744991760E0,9.969201692E0
5.095522917E-1,8.766819305E0,-1.282982025E0,1.904190216E0,9.062510910E0
5.195912917E-1,8.259673920E0,-1.836680603E0,2.218686218E0,8.747466915E0
