"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.005000007E-4,-1.615740051E0,-1.757345581E-1,8.136480103E0,8.297216823E0
1.073950000E-2,-2.077829132E0,-6.945556641E-2,7.907156982E0,8.175899310E0
2.077850000E-2,-2.402503967E0,-6.032455444E-2,7.727680206E0,8.092756374E0
3.081750000E-2,-2.460882568E0,-5.104385376E-2,7.874973907E0,8.250682550E0
4.085650000E-2,-2.532433777E0,-9.849517822E-2,8.205486603E0,8.587952755E0
5.089550000E-2,-2.621199188E0,-1.299298096E-1,8.253836060E0,8.661026304E0
6.093450000E-2,-2.426753540E0,1.299298096E-1,7.945926361E0,8.309257502E0
7.097450001E-2,-3.671714630E0,-4.761598206E-1,9.081015930E0,9.806786774E0
8.101350000E-2,-6.238726501E0,-1.335971832E0,1.050425629E1,1.229007442E1
9.105250000E-2,-5.090614014E0,-9.475296021E-1,1.113055389E1,1.227604958E1
1.010915000E-1,-2.636168060E0,-1.330732727E-1,1.039737854E1,1.072718840E1
1.111305000E-1,-1.869163055E0,-2.725831604E-1,1.006641678E1,1.024211008E1
1.211695000E-1,-1.988464966E0,-8.175997925E-1,9.993817749E0,1.022246817E1
1.312095000E-1,-2.228865051E0,-9.388476562E-1,1.017883301E1,1.046221371E1
1.412485000E-1,-2.536325684E0,-6.183641052E-1,1.039603134E1,1.071880543E1
1.512875000E-1,-2.831960907E0,-3.637435913E-1,1.037103333E1,1.075688822E1
1.613265000E-1,-2.915636902E0,-3.755690002E-1,1.014455429E1,1.056191140E1
1.713655000E-1,-2.864293671E0,-4.343966675E-1,9.781559143E0,1.020155762E1
1.814045000E-1,-2.688259735E0,-4.070036316E-1,9.480684814E0,9.862848316E0
1.914435000E-1,-2.587668915E0,-4.137396240E-1,9.133856049E0,9.502343774E0
2.014835000E-1,-2.573897552E0,-5.092410278E-1,8.716673584E0,9.103003538E0
2.115225000E-1,-2.687511292E0,-7.473957825E-1,8.632099457E0,9.071629315E0
2.215615000E-1,-2.954106903E0,-8.623567200E-1,8.925040283E0,9.440696519E0
2.316005000E-1,-3.264860687E0,-7.777825928E-1,9.137298889E0,9.734191906E0
2.416395000E-1,-3.564836884E0,-8.288264465E-1,9.016350403E0,9.730857612E0
2.516785000E-1,-3.433110809E0,-8.502319336E-1,8.766370239E0,9.452956751E0
2.617175000E-1,-3.017425232E0,-5.297483826E-1,8.446335754E0,8.984769115E0
2.717575000E-1,-3.110980682E0,-2.517764282E-1,8.334069214E0,8.899342776E0
2.817965000E-1,-3.597618713E0,-1.966909790E-1,7.994874573E0,8.769239829E0
2.918355000E-1,-3.690725098E0,-1.317260742E-1,7.303162994E0,8.183825098E0
3.018745000E-1,-3.768114166E0,-2.285746765E-1,6.530320129E0,7.542944501E0
3.119135000E-1,-3.517684937E0,-3.243754578E-1,6.255641327E0,7.184175329E0
3.219525000E-1,-3.027753754E0,-4.382885742E-1,6.199508057E0,6.913269112E0
3.319915000E-1,-3.976331177E0,-7.466473389E-1,5.467081146E0,6.801299004E0
3.420315000E-1,-4.187242584E0,-1.198557587E0,4.011957092E0,5.921599485E0
3.520705000E-1,-2.878065033E0,-1.301244049E0,2.607727203E0,4.095941354E0
