"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.198458333E-3,-1.474284210E0,1.173260193E0,7.987090759E0,8.206319041E0
1.123829166E-2,-1.052012329E0,1.292262726E0,7.567213898E0,7.748509474E0
2.127729166E-2,-1.271905060E0,1.176403656E0,7.385491791E0,7.585984250E0
3.131729166E-2,-1.448537750E0,1.032852173E0,7.374564514E0,7.586122000E0
4.135629167E-2,-2.487976227E0,-4.625381470E-2,7.563172302E0,7.962018613E0
5.139529167E-2,-4.568350067E0,-9.584568787E-1,8.600964203E0,9.785961738E0
6.143529167E-2,-3.548371124E0,-3.906875610E-2,8.067772980E0,8.813706647E0
7.147429167E-2,-2.162103882E0,8.539741516E-1,7.848778381E0,8.185797892E0
8.151429166E-2,-1.468745728E0,1.158141632E0,7.613318024E0,7.839714114E0
9.155329166E-2,-1.517544250E0,9.213340759E-1,7.088359680E0,7.307300458E0
1.015922917E-1,-1.973047028E0,3.245251465E-1,6.752308502E0,7.042151749E0
1.116322917E-1,-2.176623688E0,-1.118174744E-1,6.762337646E0,7.104885944E0
1.216712917E-1,-2.026036835E0,-1.649569702E-1,6.843618622E0,7.139128231E0
1.317102917E-1,-1.739682312E0,1.725910950E-1,6.691235504E0,6.915845198E0
1.417502917E-1,-1.557211761E0,5.767506409E-1,5.928421783E0,6.156600898E0
1.517892917E-1,-1.694326630E0,8.134085083E-1,5.087021484E0,5.423113839E0
1.618292917E-1,-2.249372406E0,9.232800293E-1,4.644691315E0,5.242640522E0
1.718682917E-1,-2.550695801E0,9.238787842E-1,4.618196411E0,5.356056307E0
1.819072917E-1,-2.652633820E0,9.288185120E-1,5.000202026E0,5.735955920E0
1.919472917E-1,-2.909200287E0,7.765850830E-1,5.668562164E0,6.418654665E0
2.019862917E-1,-2.845133514E0,4.275109863E-1,6.353537750E0,6.974596211E0
2.120262917E-1,-2.477498016E0,8.936416626E-2,6.879244537E0,7.312317538E0
2.220652917E-1,-2.243235168E0,-7.783813477E-2,7.167994080E0,7.511211748E0
2.321042917E-1,-2.302362213E0,-1.869612122E-1,7.058272247E0,7.426643480E0
2.421442917E-1,-2.585124207E0,-4.411326599E-1,6.575975189E0,7.079612622E0
2.521832917E-1,-2.648143158E0,-7.625143433E-1,6.125112762E0,6.716479484E0
2.622232917E-1,-2.671344910E0,-6.686595154E-1,5.872887268E0,6.486446950E0
2.722622917E-1,-3.143163757E0,-3.475772095E-1,6.225553894E0,6.982679257E0
2.823012917E-1,-3.908671875E0,-3.719764709E-1,7.065906372E0,8.083508841E0
2.923412917E-1,-5.052892456E0,-8.678952026E-1,7.902067566E0,9.419534812E0
3.023802917E-1,-5.595364380E0,-1.697769470E0,8.444240112E0,1.027111069E1
3.124202917E-1,-5.280419312E0,-2.243235168E0,8.779542847E0,1.048786464E1
3.224592917E-1,-4.771777039E0,-2.155517578E0,9.216633911E0,1.060011570E1
3.324982917E-1,-4.227209473E0,-1.716929626E0,9.470655670E0,1.051239583E1
3.425382917E-1,-4.119882660E0,-1.313518524E0,9.370064850E0,1.031973252E1
3.525772917E-1,-4.560117188E0,-1.148411865E0,9.185798035E0,1.031951569E1
3.626172917E-1,-4.987029419E0,-1.268761597E0,9.006770325E0,1.037314466E1
3.726562917E-1,-5.259163513E0,-1.363514557E0,9.321416016E0,1.078919688E1
3.826952917E-1,-5.624254303E0,-1.368304596E0,1.019484970E1,1.172345744E1
3.927352917E-1,-5.918392639E0,-1.501377869E0,1.080767532E1,1.241319269E1
