"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-2.417041673E-3,-2.742896118E0,1.168619843E0,7.769143982E0,8.321583363E0
7.621958328E-3,-3.695964203E0,5.707630920E-1,8.069419556E0,8.893899812E0
1.766195833E-2,-7.376959534E0,2.863545227E-1,9.122330017E0,1.173534984E1
2.770095833E-2,-8.001610565E0,6.527925110E-1,8.906029816E0,1.199038268E1
3.773995833E-2,-7.417674866E0,1.158441010E0,8.744515686E0,1.152520892E1
4.777895833E-2,-6.876101074E0,1.069226532E0,9.600286102E0,1.185704451E1
5.781895833E-2,-6.734046478E0,5.794450378E-1,9.025032349E0,1.127538680E1
6.785795833E-2,-6.562353516E0,-9.849517822E-2,7.781717834E0,1.017984860E1
7.789695833E-2,-5.762566681E0,-1.075513458E0,6.829697571E0,9.000481813E0
8.793695833E-2,-4.949906616E0,-1.793869629E0,6.311475220E0,8.219140053E0
9.797595833E-2,-4.728666687E0,-1.667981415E0,5.729036407E0,7.613429503E0
1.080149583E-1,-4.683161316E0,-1.584455109E0,5.739215240E0,7.575030659E0
1.180539583E-1,-5.175936584E0,-2.590812378E0,5.926924896E0,8.284386944E0
1.280939583E-1,-4.993915100E0,-4.301305389E0,6.568041687E0,9.304815295E0
1.381329583E-1,-3.712879028E0,-5.679788818E0,7.524402924E0,1.013223130E1
1.481719583E-1,-3.379522247E0,-5.899382172E0,7.824079742E0,1.036533185E1
1.582119583E-1,-3.707939301E0,-5.379812622E0,7.450157318E0,9.909391594E0
1.682509583E-1,-2.969075775E0,-5.303621063E0,6.324198761E0,8.771504849E0
1.782899583E-1,-1.730551300E0,-5.224735107E0,4.832999725E0,7.324653650E0
1.883289583E-1,-1.326691132E0,-4.794829102E0,3.141666870E0,5.883924387E0
1.983689583E-1,-1.764081573E0,-4.700824585E0,2.418969727E0,5.573253100E0
2.084079583E-1,-3.140768738E0,-4.763244781E0,4.067192230E0,7.006781126E0
2.184469583E-1,-3.903432770E0,-4.205504608E0,7.094646606E0,9.124531049E0
2.284859583E-1,-4.152664490E0,-3.735182648E0,9.419911194E0,1.095129849E1
2.385265833E-1,-4.683610382E0,-3.590733032E0,1.147349075E1,1.290234707E1
2.485655833E-1,-4.598138123E0,-3.120411072E0,1.223106537E1,1.343423982E1
2.586045833E-1,-5.306614838E0,-2.512525177E0,1.230650848E1,1.363536193E1
2.686445833E-1,-7.070995789E0,-1.920206909E0,1.366134109E1,1.550220683E1
2.786835833E-1,-8.401578827E0,-1.116977234E0,1.343097015E1,1.588159703E1
2.887225833E-1,-1.233210526E1,-7.517367554E-1,1.202659058E1,1.724194911E1
2.987615833E-1,-1.651605469E1,5.460644531E-1,1.034259247E1,1.949480617E1
3.088015833E-1,-1.973945160E1,2.211650848E0,8.193661194E0,2.148658727E1
3.188405833E-1,-2.344469650E1,4.332740021E0,5.838159485E0,2.454609004E1
3.288795833E-1,-2.504516830E1,6.187083893E0,3.696862335E0,2.606160497E1
3.389195833E-1,-2.478261429E1,7.444618835E0,2.961890717E0,2.604559689E1
3.489585833E-1,-2.359588211E1,7.468119965E0,3.179837494E0,2.495295243E1
3.589975833E-1,-2.132240982E1,6.640640717E0,2.987487488E0,2.253149687E1
3.690365833E-1,-1.940983704E1,5.594166870E0,2.818039856E0,2.039553445E1
