"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-1.030375002E-3,1.440903625E0,2.258952484E0,9.068142700E0,9.455701011E0
9.009624999E-3,1.333277435E0,2.354753265E0,8.774154053E0,9.181953550E0
1.904862500E-2,1.280137939E0,2.336042175E0,8.598120117E0,9.001306335E0
2.908862500E-2,1.395098877E0,2.176773376E0,8.466543732E0,8.852514104E0
3.912762500E-2,1.597927094E0,2.115401001E0,8.898994446E0,9.285493769E0
4.916762500E-2,2.007325745E0,1.935026093E0,1.010398865E1,1.048161577E1
5.920662500E-2,2.144739990E0,1.696122894E0,1.088910599E1,1.122717114E1
6.924662500E-2,2.183209991E0,1.832040253E0,1.081501007E1,1.118423981E1
7.928562500E-2,2.307152252E0,2.067051544E0,9.996362457E0,1.046531968E1
8.932462500E-2,2.232756958E0,2.092348938E0,8.811276855E0,9.327471658E0
9.936462500E-2,1.985171814E0,1.927391968E0,7.823630676E0,8.298490458E0
1.094036250E-1,1.657203827E0,1.343306580E0,7.633526001E0,7.926002542E0
1.194433750E-1,1.442999268E0,2.227368164E-1,7.945327606E0,8.078371701E0
1.294823750E-1,1.418600006E0,-9.568103027E-1,8.252788239E0,8.428310960E0
1.395223750E-1,1.112037506E0,-1.884281616E0,8.120463409E0,8.410057705E0
1.495613750E-1,9.128018188E-1,-1.891017609E0,7.614814911E0,7.899022780E0
1.596003750E-1,1.148711243E0,-5.406756592E-1,8.185877380E0,8.283746506E0
1.696403750E-1,2.923570404E0,-7.188052368E-1,9.214987335E0,9.694324962E0
1.796793750E-1,4.561314697E0,-2.143093414E0,1.032867142E1,1.149260172E1
1.897193750E-1,5.213658142E0,-2.758763123E0,1.169742508E1,1.310048696E1
1.997583750E-1,5.929020538E0,-3.025957489E0,1.203691910E1,1.375489457E1
2.097983750E-1,5.939199371E0,-3.500021667E0,1.109298203E1,1.306057009E1
2.198373750E-1,5.176535339E0,-3.752247162E0,8.922944641E0,1.097701316E1
2.298773750E-1,4.272565155E0,-3.568429413E0,6.932384033E0,8.890807042E0
2.399163750E-1,3.243455200E0,-3.294648743E0,6.157146149E0,7.699685751E0
2.499553750E-1,2.617157593E0,-3.291205902E0,5.571114807E0,6.979890425E0
2.599953750E-1,2.419269104E0,-3.603306885E0,4.927602997E0,6.566426334E0
2.700343750E-1,2.511177979E0,-4.038451996E0,4.271966400E0,6.392558665E0
2.800743750E-1,3.121009827E0,-4.781656494E0,3.601809998E0,6.751146304E0
2.901133750E-1,3.551963654E0,-5.758375397E0,4.386927338E0,8.063526801E0
3.001533750E-1,2.888543243E0,-6.912625122E0,6.536307678E0,9.942403442E0
3.101923750E-1,1.914069672E0,-7.790998535E0,6.994205475E0,1.064341257E1
3.202323750E-1,2.216291199E0,-8.353678436E0,7.773784332E0,1.162444033E1
3.302713750E-1,3.062631226E0,-8.887019348E0,6.618786163E0,1.149639740E1
3.403103750E-1,3.898043976E0,-9.230854340E0,4.615502014E0,1.103205681E1
3.503503750E-1,4.468208313E0,-9.104816437E0,2.467169495E0,1.043788739E1
3.603893750E-1,4.611610107E0,-9.184899902E0,1.695524139E0,1.041653187E1
3.704293750E-1,5.639821930E0,-9.832602997E0,2.470312958E0,1.160129817E1
3.804683750E-1,6.380781097E0,-1.033780243E1,6.136638794E0,1.361039537E1
3.905083750E-1,7.930358734E0,-1.102083206E1,8.840915222E0,1.620219463E1
4.005473750E-1,1.012434631E1,-1.140613083E1,1.039393570E1,1.845632976E1
4.105863750E-1,1.272743317E1,-1.114806747E1,1.319476135E1,2.145620401E1
4.206263750E-1,1.461485825E1,-1.042297531E1,1.607132950E1,2.409398530E1
4.306653750E-1,1.385204453E1,-9.670340424E0,1.734937180E1,2.421560082E1
4.407053750E-1,1.257460098E1,-8.824000397E0,1.588930801E1,2.210098826E1
4.507443750E-1,1.201820801E1,-8.130043488E0,1.283805313E1,1.937396550E1
4.607843750E-1,1.138382721E1,-8.010442200E0,9.787846069E0,1.701648133E1
4.708233750E-1,1.122395966E1,-7.113208008E0,8.907077637E0,1.599721946E1
4.808633750E-1,1.264076340E1,-5.423671417E0,1.033944901E1,1.720782719E1
4.909023750E-1,1.464958603E1,-3.919898529E0,1.280512161E1,1.984810104E1
5.009413750E-1,1.482232681E1,-3.383563843E0,1.474029739E1,2.117607716E1
