"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-5.764166635E-4,-2.885100403E0,1.578617249E0,7.901019745E0,8.558151071E0
9.462583330E-3,-2.923720093E0,1.538949738E0,7.150480499E0,7.876920518E0
1.950158333E-2,-4.808001709E0,8.806187439E-1,5.736670532E0,7.536694143E0
2.954058333E-2,-5.851930847E0,4.414320374E-1,4.685706024E0,7.509713565E0
3.957958333E-2,-7.388186188E0,-1.137634277E-2,7.003486176E0,1.018009053E1
4.961958333E-2,-6.043532410E0,-7.604187012E-2,6.322402496E0,8.746590174E0
5.965858333E-2,-4.846471710E0,4.932243347E-1,5.433700562E0,7.297716086E0
6.969758333E-2,-3.610791321E0,-2.194436646E-1,6.172863464E0,7.154733596E0
7.973658334E-2,-3.323538666E0,-4.537065125E-1,6.166426849E0,7.019727840E0
8.977558334E-2,-3.792663116E0,-3.508703613E-1,6.144123230E0,7.228945552E0
9.981458334E-2,-3.404819641E0,-9.647438049E-1,6.026467896E0,6.988693919E0
1.098545833E-1,-3.308420105E0,-1.238674164E0,5.675896912E0,6.685488989E0
1.198935833E-1,-4.512665863E0,-1.016087036E0,4.244124298E0,6.277672906E0
1.299325833E-1,-5.947731628E0,-1.684147797E0,1.663640442E0,6.401528321E0
1.399715833E-1,-4.933590546E0,-2.949765930E0,1.021775208E0,5.838275369E0
1.500105833E-1,-4.313280487E0,-2.745291138E0,2.213896179E-1,5.117619110E0
1.600505833E-1,-4.155508575E0,-2.584974518E0,6.024971008E-1,4.930856674E0
1.700895833E-1,-3.710783386E0,-3.143313446E0,2.089804230E0,5.293166772E0
1.801285833E-1,-3.122057648E0,-3.805835724E0,4.071832581E0,6.388383996E0
1.901675833E-1,-2.726580048E0,-4.400249634E0,5.880671082E0,7.834457733E0
2.002065833E-1,-3.584745483E0,-4.327500916E0,6.387367401E0,8.507415981E0
2.102455833E-1,-5.591472473E0,-3.755839691E0,4.340972900E0,8.013422610E0
2.202855833E-1,-6.932084656E0,-3.775299225E0,1.497336273E0,8.034220424E0
2.303245833E-1,-7.539820862E0,-4.169878693E0,7.119195557E-1,8.645439052E0
2.403635833E-1,-7.353458405E0,-4.601431274E0,3.071612549E0,9.202245592E0
2.504025833E-1,-6.604565735E0,-5.170996857E0,7.025640106E0,1.094162309E1
2.604415833E-1,-5.851481781E0,-6.157146149E0,1.093176727E1,1.384390925E1
2.704805833E-1,-4.957091675E0,-7.084617462E0,1.388946671E1,1.636098554E1
2.805205833E-1,-5.592220917E0,-8.408614197E0,1.453043381E1,1.769494940E1
2.905595833E-1,-8.206235046E0,-8.096513214E0,1.390877655E1,1.806515666E1
3.005985833E-1,-9.292526093E0,-7.279362488E0,1.195803314E1,1.680281869E1
3.106378333E-1,-1.008093658E1,-6.412814484E0,9.199719086E0,1.507926733E1
3.206768333E-1,-1.209095673E1,-5.490881653E0,6.727160797E0,1.488609110E1
3.307168333E-1,-1.460587692E1,-4.765939178E0,5.331912231E0,1.626269058E1
3.407558333E-1,-1.777299088E1,-3.772455139E0,5.205125885E0,1.889984016E1
3.507948333E-1,-1.906196045E1,-3.685935059E0,4.419260101E0,1.991166274E1
3.608338333E-1,-2.015887939E1,-2.495909729E0,2.960693207E0,2.052743745E1
3.708728333E-1,-2.171878555E1,-1.346749420E0,2.237996063E0,2.187528300E1
3.809118333E-1,-2.191472809E1,-1.515747986E0,2.234253845E0,2.208041416E1
3.909518333E-1,-2.112482071E1,-1.764530640E0,1.946701813E0,2.128758479E1
4.009908333E-1,-2.043939606E1,-1.151106262E0,2.071841583E0,2.057635741E1
4.110298333E-1,-2.027488815E1,-5.535488892E-1,2.819087677E0,2.047742077E1
4.210688333E-1,-2.023087967E1,-4.119433594E-1,2.843936005E0,2.043394630E1
4.311078333E-1,-2.004900787E1,-7.294331360E-1,1.303489380E0,2.010457346E1
4.411468333E-1,-1.966131409E1,-7.939489746E-1,-1.130748596E0,1.970980007E1
4.511868333E-1,-1.951566696E1,-5.733078003E-1,-2.934497681E0,1.974338409E1
4.612258333E-1,-1.876123581E1,-9.842033386E-1,-4.269421692E0,1.926604752E1
4.712648333E-1,-1.714953735E1,-1.234033813E0,-5.321733398E0,1.799861987E1
4.813038333E-1,-1.533246597E1,-1.089733887E0,-5.838907928E0,1.644277588E1
4.913428333E-1,-1.434781357E1,-5.824388123E-1,-5.370382233E0,1.533101414E1
5.013818333E-1,-1.437281158E1,-2.383044434E-1,-4.220772858E0,1.498163627E1
5.114218333E-1,-1.417447403E1,-5.658233643E-1,-3.203937378E0,1.454307687E1
5.214608333E-1,-1.318787567E1,-9.559121704E-1,-1.757046204E0,1.333870474E1
5.314998333E-1,-1.131991013E1,-1.042132874E0,-6.221063232E-1,1.138478908E1
5.415388333E-1,-9.784403229E0,-1.035396881E0,-1.514700165E0,9.954943989E0
5.515778333E-1,-8.826545105E0,-8.394543457E-1,-2.090702362E0,9.109534481E0
5.616178333E-1,-7.367229767E0,-6.375242615E-1,-2.214045868E0,7.719100383E0
5.716568333E-1,-5.549260254E0,2.957849121E-1,-2.668351135E0,6.164566153E0
5.816958333E-1,-3.995641022E0,1.850152588E0,-3.182232513E0,5.432753956E0
5.917348333E-1,-3.644171906E0,3.702550507E0,-3.472029877E0,6.248508670E0
6.017738333E-1,-4.591701508E0,5.332810364E0,-3.509901123E0,7.863968146E0
6.118128333E-1,-5.672603760E0,5.877976685E0,-3.628005524E0,8.938202694E0
6.218528333E-1,-6.006559296E0,5.469925232E0,-4.226011963E0,9.157402128E0
6.318918333E-1,-4.969366150E0,4.833149414E0,-4.772226105E0,8.415941729E0
6.419308333E-1,-4.490661621E-1,-7.942483521E-1,-5.021008759E0,5.103236210E0
6.519698333E-1,5.192402344E0,-2.332165237E1,-1.023586441E1,2.599294966E1
6.620088333E-1,5.685776367E0,1.965113525E0,5.400918732E0,8.084531354E0
6.720488333E-1,-2.547851715E0,-2.392325134E0,8.782237244E-1,3.603615521E0
6.820878333E-1,-8.930728455E0,-1.602118378E0,-6.409671021E-1,9.095907478E0
6.921268333E-1,-9.539961548E0,3.951782227E-1,-3.197800140E0,1.006940703E1
7.021658333E-1,-8.998687134E0,2.162852325E0,-6.878945160E0,1.153144340E1
7.122048333E-1,-8.552614746E0,3.282673645E0,-1.018976028E1,1.370234943E1
7.222438333E-1,-1.070633606E1,3.472778320E0,-1.019963974E1,1.518941974E1
7.322838333E-1,-1.532977158E1,2.903512115E0,-5.961053925E0,1.670228856E1
7.423228333E-1,-1.830064362E1,1.241667938E0,1.981429596E0,1.844942707E1
7.523618333E-1,-1.864313141E1,6.635700989E-1,1.001806732E1,2.117471008E1
7.624008333E-1,-1.701466782E1,6.243516541E-1,1.350910767E1,2.173441340E1
7.724398333E-1,-1.445978073E1,9.559121704E-1,1.313159271E1,1.955601580E1
7.824788333E-1,-1.137768997E1,2.230511627E0,9.737999725E0,1.514119050E1
7.925188333E-1,-8.846753082E0,2.655777283E0,6.468199310E0,1.127633785E1
