"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.381958333E-3,-4.121080170E0,6.244115295E0,5.638175354E0,9.368100069E0
1.142095833E-2,-3.919150085E0,6.264173584E0,5.153183899E0,9.008602132E0
2.145995833E-2,-3.816164246E0,5.568570099E0,5.530998230E0,8.727200233E0
3.149995834E-2,-3.147654419E0,5.058281250E0,5.762566681E0,8.288613412E0
4.153895834E-2,-2.547402649E0,5.138963470E0,6.328988800E0,8.541329231E0
5.157795833E-2,-2.243534546E0,5.280119934E0,7.148534546E0,9.165951120E0
6.161695833E-2,-2.367177429E0,5.283562775E0,7.555837555E0,9.518941419E0
7.165695833E-2,-2.643053741E0,5.219196625E0,7.732919312E0,9.696586387E0
8.169666667E-2,-2.363584900E0,4.493056641E0,9.301058350E0,1.059640401E1
9.173566667E-2,-1.919009399E0,1.975891113E0,1.388497604E1,1.415553964E1
1.017746667E-1,-4.050127716E0,1.966760101E0,1.598780319E1,1.660968184E1
1.118146667E-1,-3.701502686E0,3.720064087E0,1.260513748E1,1.365391848E1
1.218536667E-1,-2.307900696E0,4.344415741E0,7.910599823E0,9.315467960E0
1.318926667E-1,-3.884422302E-1,4.414320374E0,5.740712128E0,7.252095384E0
1.419316667E-1,1.428778839E0,3.994443512E0,5.305417328E0,6.792969966E0
1.519716667E-1,1.805695038E0,3.748355255E0,5.153183899E0,6.623141700E0
1.620106667E-1,1.119821320E0,3.440295868E0,6.014343109E0,7.018686379E0
1.720496667E-1,-1.100212097E-1,3.036884766E0,9.063202972E0,9.559101520E0
1.820886667E-1,-1.320703583E0,2.801723785E0,1.078282700E1,1.121888016E1
1.921286667E-1,-2.099983063E0,2.375859375E0,1.171957901E1,1.214097067E1
2.021676667E-1,-2.593506775E0,1.373394012E0,1.263881744E1,1.297506050E1
2.122066667E-1,-2.065854034E0,1.193617859E0,1.034708313E1,1.061859717E1
2.222466667E-1,-8.352630615E-1,1.169218597E0,9.440867615E0,9.549592548E0
2.322856667E-1,-1.151854706E0,1.118324432E0,1.089539291E1,1.101303798E1
2.423246667E-1,-9.442364502E-1,2.191891937E0,1.255244705E1,1.277731974E1
2.523636667E-1,-2.581232300E0,2.227218475E0,1.105451202E1,1.156829713E1
2.624036667E-1,-5.303022308E0,-1.190025330E-1,1.252939499E1,1.360595259E1
2.724426667E-1,-4.122427368E0,-1.123114471E0,1.152318741E1,1.228981861E1
2.824816667E-1,-2.084864502E0,-1.889071655E-1,7.386090546E0,7.677022825E0
2.925206667E-1,-3.395538940E0,1.591191101E-1,6.094875641E0,6.978718555E0
3.025606667E-1,-3.098406830E0,8.966354370E-2,5.541626129E0,6.349628697E0
3.125996667E-1,-2.899171143E0,-4.505630493E-2,4.407285004E0,5.275545895E0
3.226386667E-1,-3.296295319E0,-3.423381042E-1,3.786376190E0,5.031838914E0
3.326776667E-1,-3.220103760E0,-6.262976074E-1,2.874322815E0,4.361541994E0
3.427176667E-1,-2.944227448E0,-9.065148926E-1,1.824705505E0,3.580474088E0
3.527566667E-1,-2.981350250E0,-8.669970703E-1,1.414259033E0,3.411782796E0
3.627956667E-1,-4.033063202E0,-5.926176453E-1,2.040556641E0,4.558581563E0
3.728346667E-1,-4.974754944E0,-5.212161255E-1,2.954406281E0,5.809334684E0
3.828746667E-1,-5.258415070E0,-8.424481201E-1,3.414549408E0,6.326120101E0
3.929136667E-1,-5.509293365E0,-1.262774048E0,3.484603729E0,6.639983045E0
4.029526667E-1,-6.239175568E0,-1.659299469E0,3.544628906E0,7.365119183E0
4.129916667E-1,-6.495891724E0,-2.002685394E0,3.765569458E0,7.770899010E0
4.230316667E-1,-5.739065552E0,-2.008672943E0,3.924089813E0,7.236720339E0
4.330706667E-1,-5.203329620E0,-1.762285309E0,4.440066833E0,7.063602631E0
4.431096667E-1,-5.513035583E0,-1.222657471E0,5.155728607E0,7.646567211E0
4.531486667E-1,-6.872957611E0,-8.298742676E-1,6.094127197E0,9.223048516E0
4.631886667E-1,-8.192313995E0,-5.430706787E-1,6.289470978E0,1.034245520E1
4.732276667E-1,-9.847422180E0,-5.831872559E-1,6.196813660E0,1.164956353E1
4.832666667E-1,-1.022733215E1,-6.677613831E-1,6.229146423E0,1.199360219E1
4.933056667E-1,-9.903854828E0,-4.593946838E-1,6.064638519E0,1.162227277E1
5.033456667E-1,-9.601034546E0,-5.507048035E-1,5.885760498E0,1.127498633E1
5.133846667E-1,-8.185128937E0,-5.947132874E-1,5.876330109E0,1.009362547E1
5.234236667E-1,-6.202651520E0,-4.652325439E-1,6.222709808E0,8.798377382E0
5.334626667E-1,-6.342161407E0,-4.764591980E-1,7.077282715E0,9.515143473E0
5.435026667E-1,-7.646848297E0,-6.727011108E-1,7.899073792E0,1.101463492E1
5.535416667E-1,-8.638835449E0,-9.520202637E-1,8.543483734E0,1.218716271E1
5.635806667E-1,-1.008587631E1,-1.279389496E0,8.888665924E0,1.350444817E1
5.736206667E-1,-1.095796280E1,-1.605561218E0,8.536598053E0,1.398314277E1
5.836596667E-1,-1.087338867E1,-2.370021515E0,7.705675964E0,1.353606388E1
5.936986667E-1,-1.107876160E1,-2.366428986E0,5.974825287E0,1.280771181E1
6.037376667E-1,-1.069885162E1,-2.195334778E0,4.428989868E0,1.178562141E1
6.137776667E-1,-9.753417664E0,-2.625091095E0,3.523971863E0,1.069759959E1
6.238166667E-1,-8.856782227E0,-3.211571503E0,2.934198303E0,9.867436476E0
6.338556667E-1,-8.749305725E0,-3.467988281E0,2.788401489E0,9.815929719E0
6.438946667E-1,-9.217382355E0,-3.567680969E0,2.971770172E0,1.032084798E1
6.539346667E-1,-9.679621124E0,-3.701802063E0,3.133284302E0,1.082662801E1
6.639736667E-1,-1.025023453E1,-3.779490509E0,2.895578613E0,1.130204547E1
6.740126667E-1,-1.106678650E1,-3.686234436E0,2.543061676E0,1.193856149E1
6.840516667E-1,-1.156345367E1,-3.407813416E0,2.250270538E0,1.226337517E1
6.940916667E-1,-1.178319672E1,-3.193010101E0,2.180665283E0,1.240138458E1
7.041306667E-1,-1.199216217E1,-3.203188934E0,2.505489807E0,1.266293221E1
7.141696667E-1,-1.198752182E1,-3.256328430E0,2.754272461E0,1.272361470E1
7.242086667E-1,-1.163919617E1,-3.273991699E0,2.973566437E0,1.245118494E1
7.342486667E-1,-1.116887421E1,-3.350183258E0,3.121309204E0,1.207104180E1
7.442876667E-1,-1.091410400E1,-3.569776611E0,3.229085083E0,1.192845177E1
7.543266667E-1,-1.095481934E1,-3.859573975E0,3.279829559E0,1.206903724E1
7.643656667E-1,-1.153351593E1,-4.085903320E0,3.390449524E0,1.269691867E1
7.744056667E-1,-1.213541428E1,-4.304897919E0,3.520828400E0,1.334903211E1
7.844446667E-1,-1.234782257E1,-4.587210846E0,3.697910156E0,1.368158489E1
7.944836667E-1,-1.268956192E1,-4.763544159E0,3.960913239E0,1.412108949E1
8.045226667E-1,-1.284748352E1,-4.760550385E0,3.953877869E0,1.426021820E1
8.145626667E-1,-1.252610184E1,-4.791685638E0,3.766317902E0,1.393013385E1
8.246016667E-1,-1.202195023E1,-4.815336456E0,3.494333496E0,1.341361692E1
8.346406667E-1,-1.120240448E1,-4.642745361E0,3.025658112E0,1.249814217E1
8.446796667E-1,-1.024843826E1,-4.374952240E0,2.536325684E0,1.142819504E1
8.547196667E-1,-9.501940613E0,-4.215533752E0,2.240989838E0,1.063389090E1
8.647586667E-1,-9.157955933E0,-4.306245117E0,1.989662476E0,1.031361530E1
8.747976667E-1,-9.236243134E0,-4.413272552E0,1.919458466E0,1.041486835E1
8.848366667E-1,-9.562564545E0,-4.525539093E0,1.931882629E0,1.075431612E1
8.948766667E-1,-1.007075775E1,-4.695435791E0,1.732347565E0,1.124581287E1
9.049156667E-1,-1.008976822E1,-5.113067322E0,1.909429321E0,1.147139052E1
9.149546667E-1,-1.062236069E1,-5.504203949E0,2.041005707E0,1.213657744E1
9.249936667E-1,-1.111453720E1,-5.692811737E0,2.048939209E0,1.265461159E1
9.350336667E-1,-1.100960541E1,-5.763015747E0,1.969304810E0,1.258180922E1
9.450726667E-1,-1.055065979E1,-5.668113098E0,1.850152588E0,1.211886928E1
9.551116667E-1,-9.887389069E0,-5.456453247E0,1.873653717E0,1.144744176E1
9.651506667E-1,-9.363328857E0,-5.211562500E0,1.921404419E0,1.088687769E1
9.751906667E-1,-9.031468964E0,-5.090464325E0,1.895957336E0,1.053920836E1
9.852296667E-1,-8.831933899E0,-5.272785187E0,1.844314728E0,1.045020655E1
9.952686667E-1,-8.606053619E0,-5.485642548E0,1.785636749E0,1.036073992E1
1.005308667E0,-8.464298401E0,-5.628595276E0,1.789528656E0,1.032123273E1
1.015347667E0,-8.525371399E0,-5.775589600E0,1.749262390E0,1.044506159E1
1.025386667E0,-8.696016541E0,-6.088588715E0,1.649270325E0,1.074298417E1
1.035425667E0,-8.975036316E0,-6.527026978E0,1.524280243E0,1.120164221E1
1.045465667E0,-9.378447418E0,-6.903943176E0,1.362017670E0,1.172496480E1
1.055504667E0,-9.990524597E0,-7.137607269E0,1.160836029E0,1.233302718E1
1.065543667E0,-1.037926620E1,-7.107370148E0,9.892927551E-1,1.261834290E1
1.075582667E0,-1.016087036E1,-6.644532623E0,8.291258240E-1,1.216883519E1
1.085622292E0,-9.411678314E0,-5.757626953E0,8.123606873E-1,1.106299628E1
1.095661292E0,-8.476273499E0,-4.706512756E0,9.779164124E-1,9.744475115E0
1.105700292E0,-7.664960632E0,-3.772904205E0,1.268013153E0,8.636798307E0
1.115739292E0,-7.123985596E0,-3.099005585E0,1.601669312E0,7.932234929E0
1.125779292E0,-6.902895355E0,-2.720293121E0,1.912123718E0,7.661995567E0
1.135818292E0,-6.898853760E0,-2.698588257E0,2.123035126E0,7.706091092E0
1.145857292E0,-7.154522095E0,-3.042273560E0,2.282303925E0,8.102562929E0
1.155896292E0,-7.656278687E0,-3.692371674E0,2.222578125E0,8.785901515E0
1.165936292E0,-8.054300995E0,-4.523443451E0,1.764380951E0,9.404591714E0
1.175975292E0,-8.113577728E0,-5.373675385E0,1.253493347E0,9.812123942E0
1.186014292E0,-8.017028503E0,-6.055357819E0,8.701405334E-1,1.008450539E1
1.196053292E0,-7.737859039E0,-6.534960480E0,5.029541016E-1,1.014066733E1
1.206093292E0,-7.256759491E0,-6.915169830E0,1.960922241E-1,1.002589568E1
1.216132292E0,-6.712491302E0,-7.291038208E0,2.365081787E-2,9.910466033E0
1.226171292E0,-6.218219147E0,-7.542964325E0,2.409988403E-2,9.775640182E0
1.236210292E0,-5.964197388E0,-7.599696350E0,7.843688965E-2,9.660910280E0
1.246250292E0,-6.015690308E0,-7.594606934E0,1.493893433E-1,9.689628555E0
1.256289292E0,-6.154002686E0,-7.614066467E0,1.526824951E-1,9.791275155E0
1.266328292E0,-6.140231323E0,-7.671546936E0,1.580712891E-1,9.827515435E0
1.276367292E0,-5.985902252E0,-7.550748138E0,1.907034302E-1,9.637488834E0
1.286407292E0,-5.922883301E0,-7.264992371E0,2.163002014E-1,9.375897105E0
1.296446292E0,-6.148613892E0,-7.009773102E0,3.772155762E-1,9.331916380E0
1.306485292E0,-6.514004059E0,-6.755901031E0,6.523434448E-1,9.407443840E0
1.316524292E0,-6.900650024E0,-6.581813049E0,8.707392883E-1,9.575877019E0
1.326564292E0,-7.219487000E0,-6.472689972E0,8.807684326E-1,9.736142000E0
1.336603292E0,-7.276817780E0,-6.466552734E0,7.538323975E-1,9.764048574E0
1.346642292E0,-7.150779877E0,-6.493646393E0,6.056405640E-1,9.678217646E0
1.356681292E0,-7.009473724E0,-6.396947479E0,4.842430115E-1,9.502007695E0
1.366721292E0,-7.043153687E0,-6.172863464E0,3.818559265E-1,9.373156947E0
1.376760292E0,-7.095395050E0,-5.792654114E0,3.031196594E-1,9.164679707E0
1.386799292E0,-7.143145752E0,-5.457950134E0,1.698966980E-1,8.991252181E0
1.396838292E0,-7.252268829E0,-5.238057404E0,9.879455566E-3,8.946102288E0
1.406878292E0,-7.347470856E0,-5.128485260E0,-2.320175171E-1,8.963287408E0
1.416917292E0,-7.417525177E0,-5.123246155E0,-4.845423889E-1,9.027852028E0
1.426956292E0,-7.892637177E0,-5.148094482E0,-6.738986206E-1,9.447260860E0
1.436995292E0,-8.626111908E0,-5.087620239E0,-8.708889771E-1,1.005246905E1
1.447035292E0,-9.023984528E0,-4.979844360E0,-1.070723419E0,1.036231611E1
1.457074292E0,-9.024134216E0,-4.788691864E0,-1.269360352E0,1.029455409E1
1.467113292E0,-8.772657166E0,-4.577032013E0,-1.546434174E0,1.001499847E1
1.477152292E0,-8.358767853E0,-4.419260101E0,-1.813179474E0,9.627381766E0
1.487192292E0,-8.044720917E0,-4.367916870E0,-1.917362823E0,9.352674089E0
1.497231292E0,-8.105045471E0,-4.478387146E0,-1.846709747E0,9.442354071E0
1.507270292E0,-8.459208984E0,-4.734953613E0,-1.587448883E0,9.823339367E0
1.517310292E0,-9.002579041E0,-4.977599030E0,-1.154249725E0,1.035158026E1
1.527349292E0,-9.865534515E0,-5.066214752E0,-7.414082336E-1,1.111507937E1
1.537388292E0,-1.077908478E1,-4.889282684E0,-4.099974060E-1,1.184321965E1
1.547427292E0,-1.132140701E1,-4.659211121E0,-1.871109009E-1,1.224408084E1
